"","id","edad","genero","carrera","semestre","promedio","creditos","asistencia","estudio","videojuegos","deporte","dormir","trabajo","ingresos","condicion","modalidad","extra_escolar","seleccionado","transporte","traslado","internet","tutorias","beca","perfil_simulado"
"25","E0025",24,"Masculino","Sistemas",1,82,61,80,7,7,3,6,12,16652,"Media","Hibrida","Cultural","NO","Publico",22,"Bueno","NO","NO","Academico_moderado"
"26","E0026",19,"Masculino","Sistemas",9,61,333,76,7,25,1,6,20,10492,"Baja","Virtual","Deporte","NO","Auto",46,"Regular","NO","SI","Riesgo_academico"
"27","E0027",19,"Femenino","Civil",6,93,246,90,13,4,11,8,9,19418,"Media","Presencial","Deporte","NO","Publico",43,"Regular","NO","NO","Alto_desempeno_integral"
"28","E0028",18,"Femenino","Administracion",4,86,165,100,12,8,5,7,4,7629,"Alta","Presencial","Deporte","SI","Publico",5,"Bueno","NO","SI","Alto_desempeno_integral"
"29","E0029",21,"Masculino","Sistemas",4,73,125,81,11,13,5,7,2,15127,"Media","Presencial","Ninguna","NO","Publico",5,"Regular","SI","NO","Academico_moderado"
"30","E0030",20,"Femenino","Sistemas",7,76,289,87,16,3,3,8,29,8300,"Media","Hibrida","Ninguna","NO","Caminando",48,"Bueno","SI","NO","Trabaja_y_estudia"
"31","E0031",20,"Femenino","Administracion",7,68,271,72,6,18,2,5,23,13883,"Alta","Presencial","Arte","NO","Caminando",20,"Regular","NO","SI","Riesgo_academico"
"32","E0032",23,"Masculino","Mecatronica",6,80,229,58,1,8,1,7,26,14289,"Media","Presencial","Arte","NO","Auto",7,"Limitado","SI","SI","Trabaja_y_estudia"
"33","E0033",19,"Masculino","Mecatronica",7,73,263,75,4,12,3,5,8,23881,"Baja","Hibrida","Deporte","SI","Auto",50,"Bueno","NO","SI","Jugador_digital"
"34","E0034",18,"Masculino","Administracion",5,88,210,73,9,12,5,8,4,18332,"Alta","Virtual","Ninguna","SI","Auto",41,"Bueno","SI","NO","Academico_moderado"
"35","E0035",21,"Masculino","Mecatronica",7,76,273,80,9,7,3,6,10,17488,"Media","Hibrida","Voluntariado","SI","Publico",10,"Regular","NO","NO","Academico_moderado"
"36","E0036",23,"Masculino","Administracion",4,68,162,86,9,23,0,6,14,20274,"Media","Virtual","Ninguna","SI","Caminando",40,"Bueno","NO","NO","Jugador_digital"
"37","E0037",22,"Masculino","Industrial",5,79,219,75,8,10,2,6,2,12805,"Baja","Hibrida","Ninguna","NO","Publico",59,"Bueno","SI","SI","Jugador_digital"
"38","E0038",19,"Masculino","Sistemas",4,80,148,96,4,3,0,6,7,25058,"Media","Hibrida","Ninguna","NO","Publico",38,"Bueno","SI","NO","Academico_moderado"
"39","E0039",20,"Masculino","Industrial",3,89,98,96,15,1,10,7,0,10107,"Alta","Presencial","Arte","NO","Auto",41,"Bueno","NO","NO","Alto_desempeno_integral"
"40","E0040",22,"Masculino","Administracion",5,81,177,96,11,9,8,7,0,26551,"Media","Presencial","Cultural","SI","Publico",51,"Bueno","NO","NO","Academico_moderado"
"41","E0041",24,"Masculino","Sistemas",3,60,98,82,2,12,0,7,20,18723,"Media","Presencial","Cultural","NO","Auto",59,"Limitado","SI","SI","Riesgo_academico"
"42","E0042",23,"Masculino","Civil",1,75,52,87,10,8,0,6,13,3564,"Media","Presencial","Ninguna","NO","Auto",40,"Bueno","NO","NO","Academico_moderado"
"43","E0043",23,"Femenino","Industrial",7,90,320,90,16,9,7,7,5,22913,"Media","Presencial","Ninguna","SI","Publico",32,"Bueno","NO","SI","Alto_desempeno_integral"
"44","E0044",21,"Femenino","Mecatronica",4,72,126,86,12,4,6,7,8,15605,"Media","Presencial","Voluntariado","NO","Publico",30,"Limitado","NO","NO","Academico_moderado"
"45","E0045",22,"Masculino","Sistemas",9,92,351,95,10,5,3,8,4,18987,"Baja","Hibrida","Cultural","SI","Auto",56,"Bueno","SI","NO","Alto_desempeno_integral"
"46","E0046",20,"Femenino","Sistemas",4,88,135,93,17,5,7,6,10,16838,"Baja","Presencial","Deporte","NO","Caminando",67,"Bueno","SI","SI","Alto_desempeno_integral"
"47","E0047",18,"Masculino","Sistemas",4,67,131,79,6,21,1,7,8,11225,"Baja","Presencial","Ninguna","NO","Publico",22,"Regular","SI","NO","Jugador_digital"
"48","E0048",21,"Femenino","Administracion",6,69,242,90,9,2,5,7,29,11311,"Baja","Presencial","Voluntariado","SI","Bicicleta",27,"Bueno","SI","NO","Trabaja_y_estudia"
"49","E0049",23,"Femenino","Administracion",7,60,265,78,2,20,2,7,10,7400,"Media","Virtual","Arte","NO","Auto",7,"Regular","SI","NO","Riesgo_academico"
"50","E0050",19,"Masculino","Electronica",5,88,158,96,15,1,4,9,6,8095,"Baja","Presencial","Deporte","SI","Bicicleta",47,"Bueno","NO","NO","Alto_desempeno_integral"
"51","E0051",21,"Femenino","Sistemas",5,84,202,88,14,3,7,7,2,13851,"Baja","Virtual","Voluntariado","NO","Auto",47,"Bueno","NO","NO","Alto_desempeno_integral"
"52","E0052",23,"Femenino","Industrial",5,66,192,72,2,12,5,4,18,3240,"Baja","Presencial","Ninguna","NO","Publico",51,"Regular","NO","NO","Riesgo_academico"
"53","E0053",18,"Femenino","Industrial",5,93,217,94,17,9,2,6,0,28949,"Alta","Presencial","Deporte","SI","Bicicleta",55,"Bueno","NO","NO","Alto_desempeno_integral"
"54","E0054",19,"Masculino","Administracion",5,76,153,80,11,11,5,7,14,18655,"Media","Hibrida","Ninguna","NO","Bicicleta",29,"Regular","SI","SI","Academico_moderado"
"55","E0055",21,"Femenino","Industrial",4,100,141,91,14,7,1,9,2,21504,"Alta","Presencial","Deporte","SI","Publico",35,"Bueno","NO","SI","Alto_desempeno_integral"
"56","E0056",18,"Masculino","Sistemas",5,72,183,73,2,24,1,6,0,17687,"Media","Hibrida","Ninguna","NO","Bicicleta",24,"Regular","NO","NO","Jugador_digital"
"57","E0057",24,"Masculino","Industrial",4,60,147,59,1,24,0,5,10,6857,"Baja","Presencial","Ninguna","NO","Caminando",23,"Bueno","SI","SI","Riesgo_academico"
"58","E0058",25,"Masculino","Mecatronica",8,81,311,88,11,5,3,7,2,19223,"Media","Hibrida","Ninguna","SI","Publico",7,"Bueno","NO","SI","Academico_moderado"
"59","E0059",19,"Femenino","Mecatronica",3,83,89,84,11,9,5,7,2,18564,"Alta","Presencial","Deporte","SI","Auto",7,"Limitado","NO","SI","Academico_moderado"
"60","E0060",19,"Femenino","Civil",4,80,113,83,9,26,0,8,11,21172,"Baja","Presencial","Ninguna","NO","Publico",51,"Regular","SI","NO","Jugador_digital"
"61","E0061",23,"Masculino","Administracion",4,68,131,72,0,25,2,6,0,21767,"Baja","Hibrida","Voluntariado","NO","Publico",23,"Bueno","NO","NO","Jugador_digital"
"62","E0062",19,"Femenino","Administracion",4,74,130,76,7,22,2,7,1,33748,"Baja","Presencial","Ninguna","NO","Auto",19,"Bueno","SI","NO","Jugador_digital"
"63","E0063",25,"Masculino","Administracion",7,73,283,70,6,20,1,7,9,16706,"Baja","Hibrida","Ninguna","NO","Auto",48,"Bueno","NO","NO","Jugador_digital"
"64","E0064",21,"Masculino","Industrial",3,91,127,90,16,5,12,7,2,24514,"Media","Presencial","Deporte","NO","Auto",23,"Regular","NO","NO","Alto_desempeno_integral"
"65","E0065",26,"Masculino","Administracion",7,65,294,71,4,13,0,5,32,6241,"Baja","Presencial","Ninguna","NO","Auto",57,"Bueno","NO","NO","Riesgo_academico"
"66","E0066",20,"Masculino","Sistemas",6,69,208,85,12,26,4,4,12,16389,"Media","Presencial","Ninguna","NO","Publico",60,"Bueno","NO","NO","Jugador_digital"
"67","E0067",27,"Femenino","Electronica",7,72,236,82,8,0,2,8,14,27272,"Media","Hibrida","Ninguna","SI","Auto",49,"Limitado","SI","NO","Academico_moderado"
"68","E0068",24,"Masculino","Administracion",2,69,113,68,5,26,2,5,15,16771,"Baja","Virtual","Cultural","NO","Publico",39,"Regular","NO","NO","Riesgo_academico"
"69","E0069",24,"Masculino","Administracion",5,88,174,100,19,5,7,8,0,14677,"Alta","Hibrida","Ninguna","NO","Publico",5,"Bueno","NO","SI","Alto_desempeno_integral"
"70","E0070",19,"Femenino","Sistemas",2,74,87,84,12,7,4,8,0,21009,"Media","Presencial","Cultural","NO","Auto",19,"Regular","NO","NO","Academico_moderado"
"71","E0071",19,"Masculino","Industrial",7,81,256,94,1,21,5,8,11,10998,"Media","Presencial","Deporte","NO","Auto",35,"Bueno","SI","SI","Jugador_digital"
"72","E0072",19,"Masculino","Industrial",2,85,53,82,11,4,4,7,10,23689,"Media","Virtual","Voluntariado","NO","Auto",29,"Bueno","NO","NO","Academico_moderado"
"73","E0073",18,"Masculino","Mecatronica",8,70,284,73,9,19,3,7,5,14459,"Media","Hibrida","Ninguna","SI","Publico",53,"Regular","NO","SI","Jugador_digital"
"74","E0074",21,"Masculino","Administracion",4,84,151,79,11,9,6,7,8,19200,"Media","Virtual","Ninguna","NO","Auto",38,"Regular","NO","SI","Academico_moderado"
"75","E0075",18,"Masculino","Industrial",6,79,222,84,11,6,6,6,1,17514,"Media","Presencial","Ninguna","SI","Auto",11,"Regular","NO","NO","Academico_moderado"
"76","E0076",21,"Masculino","Administracion",5,82,200,72,5,5,5,6,27,31683,"Baja","Presencial","Ninguna","SI","Caminando",38,"Limitado","NO","NO","Trabaja_y_estudia"
"77","E0077",21,"Masculino","Administracion",7,92,283,96,12,1,4,7,6,19440,"Media","Presencial","Arte","NO","Auto",14,"Bueno","SI","NO","Alto_desempeno_integral"
"78","E0078",18,"Femenino","Industrial",1,88,14,92,12,3,7,8,0,22833,"Media","Virtual","Voluntariado","NO","Publico",28,"Bueno","NO","SI","Alto_desempeno_integral"
"79","E0079",20,"Femenino","Administracion",9,81,336,84,6,3,2,7,36,3000,"Alta","Hibrida","Ninguna","SI","Auto",5,"Regular","NO","NO","Trabaja_y_estudia"
"80","E0080",21,"Femenino","Industrial",6,93,234,76,10,6,2,5,24,12289,"Baja","Hibrida","Voluntariado","NO","Publico",18,"Bueno","SI","SI","Trabaja_y_estudia"
"81","E0081",19,"Masculino","Electronica",4,81,146,95,11,9,5,7,4,24037,"Media","Presencial","Deporte","NO","Auto",5,"Bueno","NO","NO","Academico_moderado"
"82","E0082",22,"Femenino","Mecatronica",7,61,258,61,4,18,2,5,5,22930,"Media","Virtual","Deporte","NO","Auto",69,"Regular","SI","NO","Riesgo_academico"
"83","E0083",19,"Femenino","Mecatronica",6,69,212,90,8,4,3,7,34,20332,"Baja","Virtual","Ninguna","NO","Auto",74,"Regular","SI","SI","Trabaja_y_estudia"
"84","E0084",23,"Femenino","Mecatronica",4,66,132,44,5,11,3,7,20,14372,"Baja","Hibrida","Ninguna","NO","Publico",5,"Bueno","SI","SI","Riesgo_academico"
"85","E0085",23,"Masculino","Sistemas",3,81,102,89,7,0,3,5,13,24991,"Baja","Virtual","Arte","NO","Auto",56,"Regular","NO","NO","Academico_moderado"
"86","E0086",20,"Masculino","Administracion",5,94,181,96,18,4,10,7,1,36474,"Media","Presencial","Voluntariado","SI","Publico",29,"Regular","NO","SI","Alto_desempeno_integral"
"87","E0087",21,"Masculino","Mecatronica",6,74,241,73,12,7,6,7,0,10675,"Baja","Presencial","Voluntariado","NO","Auto",27,"Bueno","NO","NO","Academico_moderado"
"88","E0088",19,"Masculino","Mecatronica",8,76,284,76,10,8,0,4,34,12490,"Media","Virtual","Ninguna","NO","Auto",35,"Bueno","NO","NO","Trabaja_y_estudia"
"89","E0089",20,"Femenino","Civil",6,76,245,88,4,10,4,5,21,4739,"Alta","Virtual","Deporte","SI","Auto",41,"Limitado","NO","NO","Riesgo_academico"
"90","E0090",22,"Masculino","Electronica",4,95,166,94,11,5,6,9,2,17807,"Alta","Presencial","Deporte","SI","Publico",62,"Bueno","NO","SI","Alto_desempeno_integral"
"91","E0091",18,"Masculino","Mecatronica",6,76,242,67,13,12,3,8,0,10974,"Media","Hibrida","Ninguna","SI","Auto",46,"Regular","SI","NO","Jugador_digital"
"92","E0092",22,"Femenino","Sistemas",6,68,235,61,2,20,2,7,17,4302,"Media","Virtual","Ninguna","NO","Publico",13,"Limitado","SI","NO","Riesgo_academico"
"93","E0093",23,"Masculino","Mecatronica",6,74,239,89,6,0,5,7,25,14500,"Baja","Hibrida","Ninguna","NO","Auto",64,"Limitado","SI","SI","Trabaja_y_estudia"
"94","E0094",21,"Masculino","Civil",4,87,124,95,17,6,15,9,13,20672,"Alta","Presencial","Deporte","NO","Bicicleta",89,"Limitado","NO","NO","Alto_desempeno_integral"
"95","E0095",18,"Masculino","Sistemas",6,70,234,86,2,28,4,6,5,15925,"Media","Presencial","Cultural","NO","Bicicleta",61,"Bueno","NO","NO","Jugador_digital"
"96","E0096",21,"Masculino","Mecatronica",5,64,160,76,2,5,0,4,26,16891,"Baja","Presencial","Ninguna","NO","Publico",80,"Regular","SI","NO","Riesgo_academico"
"97","E0097",24,"Masculino","Mecatronica",8,62,271,60,2,16,2,5,25,8370,"Media","Presencial","Ninguna","SI","Publico",46,"Limitado","SI","NO","Riesgo_academico"
"98","E0098",25,"Femenino","Sistemas",6,80,244,84,12,23,3,4,7,18864,"Media","Presencial","Ninguna","NO","Caminando",31,"Bueno","SI","SI","Jugador_digital"
"99","E0099",20,"Masculino","Electronica",7,71,250,65,5,19,1,6,16,16170,"Baja","Presencial","Ninguna","NO","Caminando",51,"Bueno","SI","SI","Riesgo_academico"
"100","E0100",20,"Femenino","Administracion",6,85,241,98,11,5,5,8,8,8854,"Alta","Presencial","Deporte","SI","Auto",27,"Regular","NO","SI","Alto_desempeno_integral"
"101","E0101",20,"Masculino","Civil",5,62,214,70,4,17,1,4,10,4358,"Media","Presencial","Ninguna","NO","Publico",18,"Regular","NO","SI","Riesgo_academico"
"102","E0102",21,"Femenino","Administracion",8,75,284,92,8,3,4,6,13,19414,"Baja","Hibrida","Voluntariado","NO","Caminando",40,"Bueno","NO","SI","Academico_moderado"
"103","E0103",18,"No especifica","Industrial",4,67,116,77,6,12,3,5,18,13304,"Media","Presencial","Deporte","NO","Bicicleta",8,"Bueno","NO","NO","Riesgo_academico"
"104","E0104",22,"Femenino","Civil",6,80,254,82,14,4,1,7,0,14906,"Media","Presencial","Ninguna","NO","Auto",5,"Bueno","NO","NO","Academico_moderado"
"105","E0105",21,"Masculino","Civil",5,72,169,94,8,2,5,7,14,15518,"Media","Presencial","Cultural","NO","Caminando",58,"Regular","NO","SI","Academico_moderado"
"106","E0106",25,"Femenino","Industrial",6,71,240,67,5,10,2,8,11,5815,"Alta","Virtual","Ninguna","NO","Publico",42,"Bueno","NO","NO","Jugador_digital"
"107","E0107",18,"Femenino","Sistemas",4,73,139,83,3,23,4,5,2,27669,"Media","Hibrida","Ninguna","SI","Auto",49,"Bueno","NO","SI","Jugador_digital"
"108","E0108",21,"Femenino","Mecatronica",6,76,243,73,8,24,1,7,0,10166,"Alta","Hibrida","Ninguna","NO","Auto",40,"Bueno","NO","NO","Jugador_digital"
"109","E0109",21,"Masculino","Sistemas",3,71,109,82,13,27,2,5,12,6729,"Baja","Hibrida","Ninguna","NO","Publico",39,"Bueno","NO","SI","Jugador_digital"
"110","E0110",22,"Femenino","Industrial",7,80,260,86,13,5,6,7,8,23400,"Media","Presencial","Deporte","SI","Auto",50,"Bueno","SI","NO","Academico_moderado"
"111","E0111",21,"Femenino","Civil",6,78,241,74,6,21,1,6,10,3000,"Baja","Hibrida","Voluntariado","NO","Publico",23,"Bueno","SI","NO","Riesgo_academico"
"112","E0112",20,"Femenino","Sistemas",2,71,74,79,11,6,1,7,27,3276,"Media","Presencial","Arte","NO","Publico",45,"Bueno","NO","SI","Trabaja_y_estudia"
"113","E0113",25,"Masculino","Electronica",5,86,197,84,13,3,5,5,7,20519,"Media","Hibrida","Deporte","SI","Publico",28,"Bueno","NO","SI","Academico_moderado"
"114","E0114",19,"Masculino","Sistemas",1,72,46,74,4,5,6,5,21,14530,"Media","Virtual","Arte","NO","Auto",47,"Bueno","NO","NO","Trabaja_y_estudia"
"115","E0115",24,"Masculino","Administracion",7,61,265,70,6,17,0,6,19,14429,"Baja","Hibrida","Arte","NO","Bicicleta",25,"Bueno","NO","NO","Riesgo_academico"
"116","E0116",26,"Masculino","Civil",5,89,187,96,13,4,8,8,4,26775,"Media","Presencial","Voluntariado","SI","Publico",31,"Regular","NO","NO","Alto_desempeno_integral"
"117","E0117",18,"Masculino","Civil",2,69,67,88,7,4,3,7,3,26572,"Alta","Presencial","Ninguna","NO","Auto",54,"Regular","NO","NO","Academico_moderado"
"118","E0118",20,"Femenino","Industrial",2,76,22,86,19,5,8,7,0,13922,"Alta","Virtual","Ninguna","NO","Caminando",29,"Bueno","SI","NO","Alto_desempeno_integral"
"119","E0119",18,"Femenino","Civil",6,64,226,74,3,18,2,7,17,3927,"Media","Hibrida","Ninguna","NO","Publico",31,"Regular","NO","SI","Riesgo_academico"
"120","E0120",20,"Masculino","Mecatronica",4,68,157,77,10,8,1,5,39,12122,"Media","Presencial","Ninguna","NO","Caminando",68,"Bueno","NO","SI","Trabaja_y_estudia"
"121","E0121",21,"Masculino","Administracion",4,79,143,86,10,3,6,6,28,11486,"Baja","Presencial","Ninguna","NO","Auto",10,"Bueno","SI","NO","Trabaja_y_estudia"
"122","E0122",24,"Masculino","Sistemas",4,62,176,68,9,25,0,7,15,15495,"Media","Hibrida","Ninguna","NO","Publico",23,"Regular","NO","SI","Jugador_digital"
"123","E0123",20,"Masculino","Electronica",5,87,212,93,17,3,12,7,2,32741,"Media","Presencial","Cultural","SI","Bicicleta",38,"Bueno","NO","NO","Alto_desempeno_integral"
"124","E0124",21,"Femenino","Mecatronica",5,52,183,67,2,20,2,4,8,10002,"Baja","Hibrida","Cultural","NO","Publico",30,"Bueno","SI","SI","Riesgo_academico"
"125","E0125",22,"Masculino","Sistemas",7,72,265,64,3,18,2,6,26,12261,"Baja","Hibrida","Ninguna","NO","Auto",58,"Regular","NO","SI","Riesgo_academico"
"126","E0126",20,"Femenino","Mecatronica",7,70,252,65,1,17,1,6,2,5253,"Baja","Virtual","Arte","NO","Publico",48,"Regular","SI","NO","Riesgo_academico"
"127","E0127",23,"Femenino","Sistemas",5,87,205,80,12,4,4,8,0,25935,"Media","Virtual","Arte","NO","Publico",10,"Bueno","NO","NO","Academico_moderado"
"128","E0128",20,"Femenino","Electronica",3,76,106,100,12,4,4,6,27,22694,"Media","Virtual","Arte","NO","Caminando",29,"Bueno","NO","NO","Academico_moderado"
"129","E0129",22,"Femenino","Civil",5,80,201,84,4,8,4,6,5,28104,"Alta","Presencial","Cultural","NO","Caminando",50,"Limitado","SI","SI","Academico_moderado"
"130","E0130",20,"Masculino","Industrial",3,62,122,59,2,15,0,7,12,6501,"Baja","Presencial","Ninguna","NO","Publico",31,"Regular","SI","NO","Riesgo_academico"
"131","E0131",20,"Femenino","Electronica",5,90,198,92,20,4,1,6,0,20892,"Media","Presencial","Voluntariado","NO","Publico",46,"Bueno","NO","NO","Alto_desempeno_integral"
"132","E0132",20,"Femenino","Administracion",3,78,123,95,7,11,5,6,8,26368,"Media","Presencial","Ninguna","NO","Publico",29,"Limitado","NO","SI","Academico_moderado"
"133","E0133",23,"Masculino","Mecatronica",3,72,139,80,8,3,2,7,19,22072,"Media","Presencial","Ninguna","NO","Publico",49,"Regular","SI","SI","Trabaja_y_estudia"
"134","E0134",20,"Masculino","Sistemas",4,72,137,81,6,6,4,4,29,13800,"Baja","Presencial","Cultural","NO","Publico",45,"Bueno","NO","NO","Trabaja_y_estudia"
"135","E0135",21,"Femenino","Electronica",6,79,243,67,10,22,2,6,10,23353,"Media","Presencial","Cultural","NO","Bicicleta",5,"Bueno","NO","NO","Jugador_digital"
"136","E0136",23,"Masculino","Industrial",5,81,189,78,10,13,2,6,17,10363,"Media","Virtual","Deporte","SI","Publico",49,"Limitado","SI","NO","Academico_moderado"
"137","E0137",25,"Femenino","Mecatronica",2,74,47,78,2,20,1,7,11,22406,"Media","Virtual","Deporte","NO","Publico",50,"Bueno","NO","NO","Jugador_digital"
"138","E0138",21,"Masculino","Sistemas",5,80,177,83,9,14,0,5,12,23334,"Media","Presencial","Ninguna","NO","Publico",11,"Bueno","NO","NO","Academico_moderado"
"139","E0139",22,"Masculino","Electronica",4,96,151,91,17,8,6,8,13,11530,"Alta","Presencial","Cultural","NO","Publico",5,"Bueno","NO","NO","Alto_desempeno_integral"
"140","E0140",20,"Masculino","Civil",2,78,69,86,9,12,6,6,8,13207,"Media","Presencial","Voluntariado","NO","Publico",45,"Bueno","SI","NO","Academico_moderado"
"141","E0141",22,"Masculino","Industrial",5,72,175,75,7,8,5,6,36,3000,"Media","Presencial","Ninguna","NO","Publico",29,"Limitado","SI","NO","Trabaja_y_estudia"
"142","E0142",22,"Masculino","Mecatronica",4,77,140,87,11,8,5,8,17,13263,"Baja","Presencial","Voluntariado","NO","Auto",27,"Regular","NO","NO","Academico_moderado"
"143","E0143",21,"Femenino","Industrial",8,80,315,91,6,12,5,6,5,20967,"Media","Presencial","Voluntariado","NO","Publico",24,"Limitado","SI","NO","Academico_moderado"
"144","E0144",21,"Femenino","Administracion",6,95,229,100,11,2,7,8,9,28325,"Media","Virtual","Voluntariado","NO","Publico",30,"Bueno","NO","NO","Alto_desempeno_integral"
"145","E0145",20,"Masculino","Industrial",5,92,157,77,12,0,4,6,21,15057,"Alta","Hibrida","Cultural","SI","Caminando",22,"Regular","NO","SI","Trabaja_y_estudia"
"146","E0146",23,"Masculino","Industrial",5,85,179,88,17,9,10,8,7,7398,"Media","Virtual","Deporte","NO","Publico",5,"Bueno","SI","SI","Alto_desempeno_integral"
"147","E0147",21,"Masculino","Electronica",3,71,124,68,10,26,2,5,14,21804,"Media","Presencial","Ninguna","SI","Caminando",27,"Bueno","NO","NO","Jugador_digital"
"148","E0148",18,"Masculino","Sistemas",5,81,173,78,3,4,6,5,19,13548,"Media","Hibrida","Ninguna","NO","Auto",21,"Limitado","NO","NO","Trabaja_y_estudia"
"149","E0149",18,"Femenino","Industrial",6,79,256,85,5,24,2,7,0,19739,"Baja","Virtual","Ninguna","NO","Caminando",13,"Bueno","SI","NO","Jugador_digital"
"150","E0150",23,"Femenino","Sistemas",8,79,311,85,9,12,2,8,10,21063,"Baja","Presencial","Ninguna","NO","Publico",50,"Bueno","SI","NO","Jugador_digital"
"151","E0151",18,"Masculino","Sistemas",5,70,219,71,8,1,1,6,34,11727,"Media","Hibrida","Ninguna","NO","Caminando",39,"Regular","SI","NO","Trabaja_y_estudia"
"152","E0152",27,"Femenino","Sistemas",9,85,311,95,21,6,14,7,1,29664,"Media","Hibrida","Ninguna","SI","Caminando",31,"Bueno","NO","SI","Alto_desempeno_integral"
"153","E0153",19,"Femenino","Administracion",3,61,100,67,3,17,0,6,21,11441,"Media","Virtual","Ninguna","NO","Publico",52,"Bueno","SI","NO","Riesgo_academico"
"154","E0154",21,"Femenino","Mecatronica",5,84,195,92,13,5,6,10,0,34506,"Media","Presencial","Arte","SI","Auto",28,"Bueno","NO","SI","Alto_desempeno_integral"
"155","E0155",21,"Femenino","Administracion",2,72,116,74,13,6,6,4,22,11972,"Media","Hibrida","Ninguna","NO","Auto",51,"Regular","NO","SI","Trabaja_y_estudia"
