edad,salud,sueno,estres,ingreso,familia,amigos,recreacion,promedio,estudio,autoestima,optimismo,felicidad
30,3,2,9,11374,2,6,24,82,27,3,4,0
19,3,5,4,3842,10,4,24,64,16,8,8,1
30,10,10,8,10248,10,10,20,80,14,8,2,1
25,8,5,5,10689,1,11,16,64,24,8,8,1
18,1,6,5,2257,2,12,14,97,40,1,8,0
30,10,4,6,10912,8,4,1,88,11,6,2,1
26,3,1,4,8172,8,5,11,83,23,7,7,1
30,6,10,1,11336,6,2,10,66,40,7,5,1
22,10,3,6,2335,10,4,11,79,30,3,10,1
29,2,5,9,7171,6,4,21,93,10,7,9,1
23,1,6,5,3953,4,10,24,91,17,4,3,0
20,2,5,2,9317,9,1,21,81,13,10,7,1
20,3,3,10,3712,8,1,13,83,20,8,10,0
22,8,4,9,4918,5,15,6,83,33,8,5,1
30,7,9,9,7859,3,6,25,98,13,5,1,1
28,8,6,9,2680,9,3,9,65,15,5,8,0
26,3,7,2,4637,8,11,0,86,8,7,9,1
23,4,7,2,7142,4,0,10,66,26,3,3,0
18,5,8,3,8685,8,0,2,61,21,4,3,0
26,10,9,7,2821,5,7,9,67,8,4,7,1
28,10,8,2,2816,8,0,20,92,20,3,5,1
24,1,10,6,4941,10,13,5,65,38,6,2,0
26,9,9,9,10079,1,12,15,62,29,6,5,1
29,1,6,2,6649,4,3,24,97,26,3,1,0
23,9,6,3,8612,8,5,25,68,9,8,1,1
22,4,1,4,1686,6,9,16,85,39,8,5,1
18,4,5,6,1783,6,8,3,83,32,7,8,0
24,6,3,8,9151,6,8,25,65,32,2,7,1
27,3,9,5,6262,2,2,10,78,24,8,10,1
29,7,3,8,6759,8,1,23,82,32,5,1,0
19,7,6,9,3621,1,4,19,88,7,3,2,0
21,6,6,7,10293,1,4,21,88,28,6,8,1
30,2,10,3,9674,6,12,10,77,20,2,1,1
29,3,8,9,7340,9,3,8,76,33,4,10,1
22,8,4,2,3223,2,14,5,88,10,6,6,1
29,2,9,9,5757,5,5,22,100,16,6,9,1
21,2,4,3,4878,8,0,11,95,28,8,9,1
20,10,2,2,6067,7,15,16,86,31,10,2,1
20,6,2,8,8632,9,11,4,95,16,3,7,1
26,1,2,9,3507,5,5,5,80,19,6,9,0
22,2,5,4,11404,9,8,4,100,24,10,9,1
19,9,3,10,10513,3,5,21,99,26,10,1,1
18,2,1,10,5336,4,13,19,100,6,8,9,1
22,5,8,4,7653,5,14,2,63,15,8,7,1
25,8,4,6,10939,3,10,22,80,27,7,3,1
30,6,9,9,2739,6,7,14,67,22,8,4,0
20,2,1,5,7293,10,13,7,70,25,10,6,1
21,3,8,9,8648,8,9,15,61,10,7,9,1
25,4,4,10,6781,1,1,9,91,35,5,9,0
18,2,7,3,5333,6,12,11,62,30,1,10,0
26,4,6,9,5728,2,12,16,88,40,5,10,1
28,10,2,3,2584,7,11,25,81,40,6,3,1
21,10,9,7,9193,1,1,1,68,26,8,9,1
25,3,10,9,3290,6,10,5,85,24,10,6,1
26,9,9,8,10222,5,15,0,83,26,2,7,1
27,5,1,10,8775,5,7,23,63,35,3,9,0
28,10,7,3,4968,1,3,6,61,33,6,7,1
20,7,4,7,9221,10,15,23,63,13,9,4,1
26,6,8,9,7173,6,5,14,94,26,9,6,1
28,5,10,8,4150,4,8,17,79,19,5,5,1
29,4,8,6,8861,6,8,9,67,39,7,7,1
23,3,5,1,5712,2,11,14,76,35,4,4,0
26,5,9,5,3249,2,7,7,63,38,4,4,0
18,2,7,6,8739,2,4,0,95,15,7,8,0
25,4,5,6,5676,1,2,20,96,19,9,1,0
20,7,3,1,7504,8,5,23,78,7,1,5,1
27,10,2,6,5662,8,15,4,92,34,5,4,1
30,2,6,3,8518,5,5,0,81,23,10,4,0
20,10,7,7,9442,6,2,12,66,16,3,8,1
23,4,1,5,7284,4,14,24,77,26,5,10,1
29,10,1,5,11709,6,7,1,67,34,5,3,1
24,9,5,2,11464,5,11,19,74,19,3,8,1
20,8,10,6,7813,9,15,24,94,18,4,10,2
30,2,9,8,9653,6,2,18,67,8,9,9,1
21,10,9,3,3695,6,14,3,73,36,2,9,1
25,1,8,3,9409,7,14,18,63,40,8,5,1
29,1,7,5,1049,4,2,1,87,27,2,9,0
18,2,8,1,5703,7,5,24,68,31,6,7,1
25,7,7,2,11842,9,4,20,82,12,3,9,1
24,9,3,4,1056,1,9,14,94,32,9,7,1
21,4,8,6,3541,5,6,23,67,7,7,10,1
30,1,4,4,2102,2,1,14,98,8,4,1,0
24,8,4,9,4559,1,4,16,78,19,10,6,0
27,10,6,4,5944,3,7,13,79,22,1,9,1
27,3,7,9,9120,1,11,20,84,38,6,7,1
24,3,5,7,4012,9,15,7,74,24,3,8,0
18,9,7,7,10130,9,4,12,75,21,4,6,1
28,2,8,6,2514,9,6,1,77,29,10,10,1
18,2,4,10,10156,4,15,6,81,24,1,4,0
21,2,8,4,10902,4,12,7,95,25,5,7,1
25,9,6,5,5285,6,15,14,66,35,6,4,1
23,6,7,1,10216,4,4,0,76,40,10,10,1
29,7,5,3,4214,6,7,12,96,20,8,9,1
28,6,5,8,11513,8,14,5,82,15,3,9,1
25,3,9,1,9584,1,2,21,63,5,7,3,0
28,4,2,3,1149,4,14,11,63,35,8,1,0
18,9,9,7,1194,1,8,17,78,6,9,7,1
30,3,2,2,9591,3,7,6,99,38,5,6,1
22,7,2,6,7652,8,7,22,74,24,2,1,0
19,7,7,7,10055,8,1,20,60,15,2,8,1
24,6,10,2,9653,1,7,6,96,35,5,1,1
19,5,9,10,11782,1,5,10,61,18,10,3,0
30,7,2,5,3661,10,7,18,84,39,6,7,1
30,3,2,9,6666,1,3,13,74,9,6,10,0
30,10,10,7,6347,1,8,25,88,36,4,6,1
26,7,7,3,10598,7,2,24,99,23,4,2,1
19,5,3,7,11385,3,12,10,83,11,2,1,0
22,8,6,5,2674,3,2,5,87,33,9,9,1
26,7,2,1,2468,6,2,19,98,25,7,1,1
22,7,7,2,10167,4,5,21,84,15,3,5,1
22,5,8,3,2036,3,13,8,86,24,8,2,1
23,5,4,8,10728,10,6,14,66,13,5,1,0
24,6,10,7,6399,8,10,13,98,13,5,6,1
27,4,8,6,3910,7,10,9,100,36,10,4,1
23,7,5,7,6980,2,6,18,94,16,9,1,1
29,8,4,8,5773,2,13,21,91,13,5,4,1
22,3,7,7,2211,8,15,18,85,39,9,7,1
26,1,6,9,10729,2,3,24,75,27,3,10,0
18,10,7,6,8052,2,0,3,76,19,9,9,1
26,10,10,4,8303,6,12,14,97,37,3,6,1
18,8,2,5,7815,2,3,23,69,27,5,6,0
25,4,9,8,6706,8,3,14,88,25,2,5,0
18,2,1,6,11616,2,5,23,75,38,3,9,0
20,6,9,7,8570,4,12,20,71,16,7,7,1
18,10,4,8,10702,7,12,0,73,18,5,2,1
27,2,9,3,6993,6,6,14,67,21,8,9,1
28,6,10,7,11015,7,3,11,82,34,10,3,1
28,5,10,10,2388,3,10,3,75,24,2,3,0
23,3,9,7,7852,10,4,18,84,32,3,8,1
28,9,3,9,3733,8,9,4,71,25,8,10,1
18,6,1,8,3236,4,12,17,92,36,7,8,1
24,8,8,3,2354,10,0,25,74,23,1,5,1
21,9,5,3,8492,10,15,17,92,12,10,2,1
22,9,6,9,1681,8,6,13,66,20,5,1,0
25,5,6,2,8193,2,7,6,97,27,10,7,1
20,10,3,4,4390,1,11,17,77,39,3,6,1
29,5,5,10,5380,9,3,4,86,8,5,3,0
29,3,4,3,6277,4,12,15,69,22,7,7,1
25,2,2,7,9447,5,11,14,91,25,10,1,1
30,2,8,6,2037,9,12,6,87,18,8,5,1
23,5,6,9,10468,3,15,25,81,8,1,2,0
28,8,1,2,3588,8,14,0,87,17,3,5,1
20,5,2,6,5102,2,11,21,70,8,7,5,0
29,4,7,2,2559,1,6,15,64,13,10,4,0
26,8,1,1,6629,2,13,22,68,35,2,4,1
24,2,2,2,6133,6,9,4,84,13,3,2,0
26,10,1,10,11649,3,14,11,73,14,7,10,1
28,8,4,2,2646,3,3,18,84,27,7,6,1
30,3,4,5,11561,2,7,17,98,23,1,5,0
21,9,10,9,4090,7,9,20,63,20,8,7,1
19,4,8,10,2163,9,0,11,80,13,7,10,0
24,6,9,3,8717,2,0,18,64,5,5,4,0
18,1,7,9,5693,9,13,13,85,10,9,9,1
27,3,5,2,6077,2,6,25,69,39,6,7,1
27,2,5,7,4909,1,7,2,87,12,8,10,0
27,1,5,3,2956,1,4,22,60,15,8,6,0
26,9,5,3,7092,3,8,23,67,6,6,7,1
22,9,2,5,10447,2,15,14,92,28,1,8,1
27,3,6,3,5179,2,3,7,92,5,1,1,0
21,1,8,6,7274,3,5,1,95,31,4,6,0
21,7,6,5,2276,10,11,3,92,8,3,4,1
30,9,1,7,2129,8,9,24,79,25,2,9,1
25,1,6,4,5777,10,9,23,99,20,8,6,1
27,8,4,9,5016,3,0,13,61,19,9,6,0
28,1,6,1,11769,7,9,3,73,38,4,7,1
25,1,3,5,2524,1,7,16,86,28,8,2,0
27,2,9,3,11440,7,2,18,96,8,7,3,1
21,5,5,6,7438,6,10,14,77,19,2,4,0
20,10,2,3,2731,3,14,14,80,31,2,9,1
23,4,8,5,8591,5,3,2,70,24,10,1,0
21,6,3,2,5066,6,12,16,63,24,5,3,1
18,7,8,9,10013,4,3,14,66,13,2,1,0
18,4,3,4,7563,6,2,18,97,21,2,1,0
19,4,8,3,2506,6,3,1,89,8,3,10,0
24,7,8,1,7270,7,5,11,73,16,5,5,1
25,3,1,10,11144,10,7,20,78,36,7,9,1
25,1,2,5,7275,3,13,6,93,20,9,1,0
24,6,8,9,8940,6,10,12,77,16,1,6,1
27,4,1,5,1959,8,11,24,97,19,3,2,0
21,4,5,9,1916,4,12,11,71,16,4,10,0
23,6,10,1,6761,10,4,18,72,36,9,5,1
20,8,1,2,1920,4,7,0,93,35,1,6,0
27,4,3,6,3907,6,1,0,69,14,2,9,0
23,2,6,7,10601,2,10,9,80,13,3,7,0
30,8,6,3,10207,10,11,7,97,16,7,5,1
29,5,3,3,1029,10,12,24,96,7,3,10,1
23,10,4,10,2705,8,4,10,64,20,6,6,0
20,2,6,8,1186,5,6,7,64,27,5,2,0
29,1,1,7,8179,7,5,13,91,29,6,9,0
24,2,8,10,11665,4,5,14,64,7,5,1,0
23,5,2,2,6600,3,12,5,64,40,2,6,0
27,10,8,1,8066,3,13,5,63,11,6,4,1
21,7,9,9,5346,5,9,7,66,8,7,10,1
26,8,3,1,6911,1,13,2,78,35,4,2,0
18,4,3,5,2342,8,3,9,85,35,8,5,0
19,9,7,3,7078,7,11,5,88,7,5,8,1
25,5,4,5,10244,1,4,24,66,10,6,9,1
24,10,4,9,1999,7,13,17,90,20,8,5,1
19,7,1,9,10358,9,4,3,88,16,3,4,0
30,4,3,1,7936,2,13,6,100,14,10,5,1
23,2,2,7,10115,7,10,8,93,34,1,10,1
27,9,7,2,7790,3,4,18,97,11,2,10,1
30,2,5,9,6633,7,8,12,91,35,1,3,0
22,7,3,10,10972,7,1,12,81,20,1,8,0
22,6,1,6,5965,5,8,15,66,19,3,5,0
29,8,6,5,7828,10,2,6,88,18,7,8,1
30,9,6,1,9442,3,2,9,92,30,3,9,1
27,1,3,4,4288,1,7,1,89,8,6,4,0
22,6,8,9,7503,2,0,7,83,36,10,8,1
20,8,10,9,6730,6,5,8,65,23,1,7,0
18,3,10,4,4626,4,6,8,86,37,1,1,0
25,3,3,10,1138,4,8,19,79,22,7,7,0
23,8,5,4,8646,5,12,18,66,5,9,6,1
26,10,10,5,5890,2,15,2,81,22,6,5,1
22,5,4,3,9475,4,1,25,98,30,6,3,1
29,1,8,5,5250,7,12,12,62,17,6,4,0
28,9,8,6,9311,5,5,21,95,16,5,2,1
25,3,5,9,3999,6,2,7,82,19,5,7,0
30,6,6,5,10593,5,14,3,90,8,10,10,1
27,2,8,4,9199,2,12,16,79,31,1,3,0
20,4,6,7,10329,8,4,10,71,10,8,6,1
28,3,6,1,1077,8,8,6,70,15,8,2,0
20,10,7,7,7609,7,15,12,60,7,9,4,1
29,6,1,6,9700,4,0,21,60,20,4,6,0
22,3,2,7,9246,10,9,5,64,7,5,5,0
25,9,10,9,6535,7,4,10,91,27,4,3,1
30,7,1,4,4675,3,6,23,61,37,3,2,0
23,1,7,5,9761,10,1,19,63,11,1,1,0
29,2,7,8,7230,2,8,15,69,18,1,5,0
24,2,9,5,11203,10,4,13,66,37,10,2,1
22,2,2,8,4254,10,6,24,76,38,4,6,0
29,7,5,3,1645,9,15,6,90,26,4,1,1
18,2,2,10,11961,8,4,2,92,9,2,5,0
28,4,8,5,5327,8,1,3,71,7,5,6,0
30,6,7,2,2556,1,0,4,70,26,6,8,0
27,5,2,6,6615,3,3,12,85,34,5,7,0
29,8,7,3,2852,3,1,5,66,31,10,8,1
30,10,8,3,11015,7,11,19,61,13,8,8,1
19,7,8,1,2037,5,10,0,93,19,6,9,1
26,10,2,7,11841,4,15,11,84,14,9,10,1
18,1,3,9,8688,8,5,2,91,25,4,6,0
22,1,9,4,10019,7,12,7,65,34,8,10,1
25,2,8,8,6178,2,15,23,61,11,7,7,0
18,9,9,1,2489,10,9,16,95,18,8,6,1
23,1,4,8,6439,9,15,22,83,33,2,2,0
30,4,1,6,6818,5,11,22,66,7,3,8,0
20,7,2,5,11008,4,6,3,85,18,8,4,1
29,6,2,7,1761,10,3,24,88,34,10,9,1
20,8,1,9,1795,9,13,18,90,37,3,10,1
20,3,2,7,11772,10,10,16,84,31,10,4,1
22,7,6,5,8419,3,4,13,98,37,5,9,1
23,9,4,4,4435,10,9,21,82,13,3,9,1
26,6,2,6,10212,8,13,21,94,23,7,1,1
26,2,1,7,3381,1,1,6,77,15,5,5,0
20,1,5,4,9866,1,11,14,66,40,4,9,0
24,4,9,5,11887,1,12,12,86,25,9,1,1
18,5,4,10,8259,4,11,24,97,39,10,4,1
30,4,5,8,3906,2,5,5,92,12,7,1,0
24,5,9,5,3131,3,8,0,81,34,3,1,0
20,6,10,1,11246,10,9,15,96,40,6,2,1
30,6,9,4,4012,9,2,25,92,15,7,9,1
26,7,2,6,4624,4,10,10,83,23,4,10,1
26,8,9,1,2879,6,14,7,99,20,1,6,1
24,2,7,5,9851,5,0,16,83,37,9,8,1
25,1,5,4,6248,9,2,3,70,39,9,1,0
28,2,4,4,7950,2,6,17,87,9,3,1,0
25,6,1,2,2200,1,5,25,76,40,2,10,0
21,5,7,7,8391,7,13,10,61,29,2,9,1
18,10,2,10,1745,2,11,16,66,23,5,10,0
19,5,8,7,7473,1,15,5,94,19,3,7,1
30,9,5,3,5883,6,0,17,95,14,2,1,1
18,10,10,7,9800,9,2,9,73,27,4,7,1
28,9,3,3,4014,4,8,6,67,16,10,1,0
30,9,8,9,2198,5,2,8,66,17,10,8,0
23,6,3,4,2639,5,2,6,80,36,8,6,0
27,5,10,3,10266,10,11,25,80,32,3,1,1
23,4,4,7,5533,6,4,21,81,35,8,8,1
23,5,8,9,2783,3,2,8,68,39,4,5,0
29,2,2,1,9309,1,12,24,97,18,1,9,1
22,9,9,8,11713,3,11,12,74,23,3,8,1
26,9,2,7,6961,9,0,21,75,15,9,3,1
25,3,3,10,10270,3,15,11,62,19,8,4,0
19,5,6,4,1701,4,11,12,90,34,1,1,0
28,6,2,9,11380,5,8,18,94,16,7,7,1
23,10,2,9,5121,7,7,16,85,27,6,8,1
30,8,10,1,9222,3,14,5,74,9,9,5,1
21,3,3,3,6934,10,3,21,74,31,6,2,1
25,8,8,4,10679,3,13,0,75,7,3,10,1
27,3,3,9,1642,10,4,1,70,21,3,9,0
24,10,10,1,11842,5,2,6,88,35,8,3,1
21,7,10,3,10546,3,8,5,81,34,10,10,1
19,4,7,7,3166,2,0,6,93,37,7,3,0
27,2,3,8,11072,10,1,25,94,37,2,2,0
25,3,10,9,1019,7,13,11,62,38,7,4,0
30,8,7,6,10650,10,3,13,68,21,8,4,1
19,5,10,9,7695,5,6,0,60,38,2,9,0
18,7,4,6,7698,6,3,4,87,21,5,9,1
24,10,6,10,5514,7,6,13,95,40,8,3,1
23,9,9,8,5157,5,11,24,85,13,2,4,1
25,3,2,4,9328,7,10,25,95,8,3,7,1
28,1,2,3,8727,10,13,2,64,21,4,6,0
19,10,1,7,7564,10,9,22,98,8,3,8,1
25,1,4,9,5685,4,1,25,98,37,9,4,0
27,3,1,6,4919,1,5,2,77,30,6,7,0
24,10,4,9,1251,2,2,17,78,40,10,6,1
23,5,4,10,4187,8,12,18,60,21,3,7,0
26,2,9,2,9243,5,10,3,92,21,9,10,1
22,8,7,10,8923,4,10,24,89,34,10,1,1
25,2,5,2,7269,4,7,25,80,31,6,9,1
26,1,5,4,5706,2,12,21,81,9,9,3,0
25,6,6,4,10399,5,5,23,72,36,4,4,1
29,4,5,4,4755,4,7,19,82,14,2,2,0
19,8,10,1,9871,1,15,11,99,25,8,10,2
22,8,3,9,5591,7,7,24,96,13,1,9,1
30,7,8,9,1533,9,11,12,71,34,2,9,1
25,6,1,1,4452,7,3,10,83,21,3,9,1
22,4,5,8,11044,6,11,5,91,32,4,7,1
29,6,6,7,5581,8,5,18,68,19,2,5,0
30,4,9,7,7240,4,4,25,69,35,1,3,0
24,8,3,9,9748,6,15,9,76,40,10,1,1
24,2,3,1,4530,5,15,20,66,33,6,5,1
23,6,9,9,5222,6,0,13,67,27,10,4,0
27,10,9,3,5663,6,10,21,92,36,8,2,1
24,10,5,8,11349,3,5,20,81,31,10,10,1
24,2,2,3,6629,4,10,10,78,22,10,7,1
22,8,6,10,9535,8,13,5,71,6,3,4,0
28,5,2,4,3734,7,3,3,64,35,9,1,0
18,7,9,2,2702,5,4,2,84,24,4,4,0
29,5,8,3,3150,9,5,0,62,27,6,8,0
25,9,5,9,8288,3,5,18,98,34,10,7,1
26,9,5,6,8891,9,7,25,65,33,5,6,1
24,5,3,5,1172,1,4,11,78,35,9,1,0
29,8,8,5,1149,7,9,19,74,5,9,6,1
21,7,9,7,7467,4,5,22,84,29,4,5,1
19,7,4,9,11046,5,9,20,94,22,7,4,1
19,3,3,5,2808,8,14,8,99,36,4,6,1
18,3,1,9,1362,3,3,9,77,13,8,1,0
21,2,3,1,9086,4,10,13,79,36,6,8,1
29,1,6,2,3393,1,8,24,85,9,9,8,1
20,4,5,7,1206,2,7,12,88,20,1,4,0
25,2,9,4,8746,7,9,10,70,7,9,9,1
19,5,8,5,4255,6,1,21,73,12,4,7,0
23,1,3,5,10579,2,12,25,75,5,1,10,0
30,8,10,3,7084,2,7,5,91,10,10,6,1
30,1,1,6,11560,3,3,4,91,19,6,9,0
30,6,8,4,1349,7,11,23,68,21,1,8,1
29,8,9,5,9892,8,6,18,71,39,6,6,1
29,8,5,10,10085,3,2,16,69,33,5,5,0
26,6,8,1,11453,9,12,23,71,6,10,6,1
30,10,4,6,2037,9,12,6,93,36,9,3,1
27,5,6,7,11500,6,3,3,93,9,1,3,0
20,1,4,2,8952,4,3,1,96,29,8,9,1
27,10,5,1,7002,4,2,0,73,36,2,8,1
30,1,6,9,7814,6,1,19,77,38,1,2,0
22,2,4,9,2591,2,7,17,84,17,4,9,0
28,4,10,3,10149,9,13,23,66,27,8,7,1
19,3,3,9,7579,9,10,21,70,39,10,8,1
23,6,9,6,7090,7,13,23,80,20,10,9,1
21,7,9,5,6898,8,14,12,60,7,5,10,1
18,9,3,5,1107,5,7,6,80,6,5,9,0
26,9,10,10,3534,2,1,14,82,14,3,5,0
23,10,4,4,5198,5,2,18,85,18,2,6,1
30,8,3,8,10440,2,9,1,96,29,2,1,0
30,6,6,7,7824,2,7,23,98,5,7,1,1
22,9,1,6,9846,10,4,10,92,19,3,1,1
28,7,8,10,10424,9,2,7,87,23,7,3,1
20,6,2,8,10362,1,12,8,65,30,9,7,0
30,3,3,8,10163,4,15,12,96,17,9,10,1
29,9,4,4,2173,5,13,10,96,10,2,7,1
24,6,6,4,6254,6,0,24,79,15,6,10,1
30,8,10,3,8216,1,7,6,83,14,2,2,0
29,1,4,10,3419,5,0,10,67,24,8,8,0
18,6,4,9,4471,4,8,17,90,14,1,7,0
27,9,1,5,3790,1,9,6,99,22,1,8,0
28,1,2,7,11819,5,11,3,61,23,7,4,0
24,9,2,6,8940,10,2,5,72,37,8,9,1
29,1,1,4,9673,5,10,15,85,15,1,6,0
28,6,6,5,4869,9,8,25,63,21,7,1,1
26,5,4,3,6599,7,4,2,84,38,10,4,1
24,4,10,3,7987,5,10,14,94,13,4,3,1
27,9,4,3,6062,9,4,13,69,15,6,2,1
26,9,2,3,6203,3,0,24,80,31,7,5,1
25,5,3,4,2749,3,5,0,99,22,10,10,1
27,4,10,4,4783,1,11,2,90,13,9,10,1
25,6,3,7,9051,8,4,5,72,19,1,7,0
30,1,5,7,4646,4,6,2,71,33,10,8,0
