edad,experiencia_mlb,estatura_cm,peso_kg,velocidad_swing,fuerza,precision_contacto,vision_dinamica,agilidad,tiempo_reaccion,pct_bateo
30,8,178.5,69.3,116.7,78.6,71.8,82.2,85.6,0.289,0.275
22,0,177.2,79.3,110.6,83.1,77.1,82.0,70.5,0.266,0.266
24,5,172.0,94.0,107.4,81.8,76.5,73.7,67.0,0.278,0.246
22,0,174.9,92.1,104.4,99.4,80.2,73.3,75.1,0.274,0.281
24,6,202.0,91.9,98.7,80.5,73.8,81.9,71.4,0.27,0.261
21,0,191.6,81.2,106.5,80.5,75.1,81.1,70.8,0.274,0.258
33,15,191.2,94.4,117.3,94.8,83.4,86.6,83.2,0.283,0.316
35,12,180.2,89.2,106.3,89.6,80.9,79.4,74.6,0.268,0.291
24,4,184.8,94.1,110.0,69.9,79.3,83.6,77.4,0.256,0.281
32,10,181.5,84.9,114.3,87.1,87.7,73.8,76.8,0.258,0.314
25,5,181.0,84.2,111.6,83.2,72.7,77.3,66.4,0.294,0.249
39,20,193.0,94.2,116.2,87.5,91.3,79.9,71.0,0.25,0.321
29,6,185.9,104.4,104.8,78.1,83.2,82.1,67.5,0.255,0.279
21,1,189.1,88.2,117.7,87.7,73.1,78.7,71.3,0.256,0.269
29,9,187.6,83.9,107.8,84.7,73.6,80.7,66.9,0.228,0.258
22,2,181.3,90.6,119.9,81.1,81.1,77.4,71.2,0.26,0.301
22,1,186.8,99.0,114.7,83.8,79.1,82.9,60.5,0.245,0.29
38,15,195.4,100.1,110.6,93.4,87.3,82.1,84.0,0.264,0.317
20,0,192.2,81.9,102.0,77.3,84.1,80.0,74.3,0.261,0.281
34,16,183.0,89.1,106.0,85.8,89.8,85.5,77.1,0.277,0.31
24,3,185.0,112.7,117.5,79.1,80.0,78.7,75.2,0.24,0.305
24,6,180.2,81.2,101.0,79.6,78.4,78.4,66.1,0.273,0.256
39,21,175.4,98.4,112.8,75.8,82.7,81.6,77.7,0.263,0.304
37,16,179.0,82.5,105.8,84.9,76.9,87.5,75.5,0.291,0.278
39,19,179.3,100.3,114.9,80.5,85.6,73.2,80.9,0.266,0.295
22,0,185.6,73.6,114.2,73.6,75.7,80.2,76.2,0.271,0.278
36,15,179.0,85.0,111.6,66.5,79.6,71.0,73.3,0.292,0.244
28,10,204.7,89.1,121.4,81.5,89.7,75.8,80.0,0.259,0.315
28,5,181.1,91.9,103.3,85.4,89.2,81.1,80.4,0.276,0.303
33,11,178.6,97.9,106.1,78.4,79.4,75.0,70.0,0.248,0.255
21,0,178.4,76.1,104.6,75.0,81.2,71.0,91.6,0.28,0.28
32,13,186.8,87.2,110.3,98.7,79.4,80.8,75.8,0.252,0.293
39,19,195.0,79.4,121.4,84.6,82.0,80.8,81.1,0.295,0.303
21,3,179.2,95.6,123.4,75.8,80.3,84.8,82.0,0.24,0.311
35,12,186.1,69.6,99.1,84.7,72.8,79.2,73.1,0.245,0.255
25,4,174.4,82.8,111.1,86.7,82.4,78.9,80.7,0.253,0.294
31,11,191.8,97.6,111.9,75.3,76.6,78.0,85.2,0.284,0.278
39,16,188.9,82.5,118.7,83.8,85.7,77.6,70.8,0.262,0.3
27,6,175.0,91.3,117.7,82.7,78.5,74.4,75.4,0.265,0.276
34,12,185.6,99.0,107.9,85.2,73.2,87.1,73.4,0.256,0.267
28,10,173.0,84.5,111.1,74.7,77.4,86.3,79.4,0.258,0.285
27,9,182.9,92.5,119.5,76.5,82.8,81.6,80.9,0.292,0.312
33,15,174.4,88.6,114.3,82.0,73.2,78.9,68.8,0.262,0.276
22,4,180.4,90.8,122.5,77.1,79.6,77.2,69.1,0.263,0.277
31,11,179.5,95.5,123.3,84.5,88.7,77.1,80.5,0.256,0.323
31,8,182.9,73.5,108.6,86.4,82.0,83.6,76.9,0.268,0.299
20,1,182.7,82.3,109.8,87.8,83.3,78.3,66.9,0.272,0.289
27,5,179.9,91.6,104.5,80.1,82.5,86.3,70.9,0.237,0.293
22,0,186.0,86.5,119.3,81.0,89.4,83.8,76.9,0.277,0.329
22,0,185.5,85.5,107.8,76.3,79.8,79.0,73.6,0.3,0.275
31,12,186.5,97.4,99.8,79.4,86.7,83.1,69.9,0.251,0.283
24,6,179.7,87.1,116.0,81.9,78.9,72.9,70.7,0.274,0.28
26,7,190.6,86.0,111.6,86.4,70.0,82.7,68.4,0.288,0.257
30,9,181.3,101.1,120.9,77.9,87.0,83.0,76.4,0.257,0.315
38,15,194.1,95.5,118.2,78.2,84.6,78.6,70.6,0.256,0.294
24,1,187.3,99.7,109.8,86.4,88.7,75.8,71.1,0.241,0.31
39,16,176.7,92.7,109.5,94.0,85.4,73.6,77.8,0.285,0.311
32,13,182.9,67.9,111.6,77.6,82.8,75.7,69.1,0.268,0.285
34,12,187.2,84.9,116.1,80.5,79.8,77.3,66.2,0.297,0.27
24,3,172.6,87.1,115.7,71.6,80.4,75.8,70.0,0.28,0.264
21,1,194.1,96.9,127.9,81.5,78.4,85.4,62.4,0.292,0.291
37,19,186.5,89.5,115.9,83.5,83.7,79.4,72.3,0.279,0.299
27,8,188.8,87.8,109.2,77.3,84.5,79.3,71.2,0.286,0.285
27,5,187.1,103.1,101.0,82.9,85.7,86.1,61.1,0.263,0.289
38,18,174.0,100.9,107.0,88.0,83.8,73.8,73.0,0.272,0.282
34,16,178.6,73.6,113.7,84.7,81.2,79.6,76.4,0.256,0.307
20,2,187.7,91.9,109.2,91.4,81.4,85.0,77.6,0.274,0.304
38,15,178.4,92.2,114.2,81.1,78.3,80.4,84.5,0.268,0.292
29,10,170.3,77.1,106.5,81.3,82.5,77.9,80.8,0.269,0.268
26,8,193.9,88.9,107.0,92.0,73.7,74.5,74.4,0.283,0.259
36,17,182.3,97.1,118.5,90.3,77.5,75.6,78.3,0.27,0.284
20,0,176.5,75.3,107.5,83.7,70.2,82.4,73.9,0.258,0.248
30,8,196.8,90.7,100.4,80.9,83.4,74.3,65.5,0.272,0.253
28,9,179.4,113.4,112.5,84.6,85.6,75.8,77.5,0.28,0.3
35,15,188.7,88.6,108.8,93.5,71.7,81.8,69.1,0.27,0.258
27,6,187.9,82.6,101.9,75.3,81.2,78.7,76.7,0.295,0.271
37,19,180.6,84.6,113.4,79.4,77.5,76.0,76.4,0.275,0.261
39,20,184.3,83.1,101.3,86.4,85.4,81.8,76.2,0.279,0.284
20,0,189.4,78.0,112.8,93.2,79.4,83.3,78.4,0.297,0.3
29,8,185.8,88.5,108.2,77.0,85.9,74.7,67.7,0.248,0.275
39,19,183.6,102.1,106.6,73.1,85.1,79.8,68.9,0.253,0.276
26,8,191.3,88.7,112.1,91.4,78.4,83.6,77.8,0.27,0.292
29,8,194.1,93.1,109.8,78.9,83.3,83.9,63.1,0.267,0.285
32,11,179.9,72.9,110.8,86.6,83.2,78.7,73.2,0.296,0.288
36,18,186.0,107.0,111.2,79.6,80.0,69.8,78.5,0.264,0.271
38,19,184.0,86.7,112.9,83.1,79.8,79.6,75.7,0.271,0.291
28,6,183.0,81.1,103.3,82.3,76.5,81.1,76.2,0.245,0.27
35,17,172.2,80.2,104.6,85.9,67.5,73.4,69.7,0.26,0.232
29,8,179.9,91.0,105.8,78.6,82.7,74.0,81.8,0.274,0.267
29,8,176.9,77.1,107.4,86.6,82.4,77.5,86.4,0.266,0.293
21,1,170.7,92.1,114.8,96.4,80.5,81.4,70.7,0.29,0.295
21,2,182.0,72.2,114.2,76.9,81.2,77.6,73.5,0.298,0.28
23,0,195.7,87.5,112.0,84.4,73.9,78.5,65.7,0.283,0.267
30,10,185.7,63.8,115.0,84.5,79.5,78.8,68.7,0.285,0.273
27,4,181.5,104.2,111.4,77.1,80.5,76.9,71.4,0.265,0.27
33,14,197.3,94.9,116.1,87.9,92.1,74.6,74.0,0.286,0.312
33,14,189.4,93.5,104.7,83.4,80.8,78.3,77.2,0.263,0.265
36,17,189.5,83.0,102.7,72.7,82.7,83.0,74.4,0.281,0.271
21,0,197.8,86.7,117.1,88.6,88.0,78.4,69.6,0.27,0.313
38,20,191.4,90.5,117.8,81.0,85.0,76.3,71.5,0.253,0.304
29,11,191.7,88.1,103.0,76.6,73.7,81.1,69.5,0.266,0.254
26,3,191.2,93.8,124.0,75.2,74.0,82.1,74.0,0.281,0.277
37,18,182.8,92.3,114.4,70.7,81.7,76.9,76.8,0.268,0.288
38,20,184.0,82.5,104.3,86.2,76.5,82.2,65.4,0.251,0.27
31,11,180.1,90.0,112.2,81.3,78.4,82.0,71.3,0.276,0.269
38,17,189.6,92.7,106.7,79.4,77.4,74.8,72.2,0.266,0.259
34,16,183.2,105.5,118.2,92.1,79.7,76.3,68.6,0.274,0.289
37,17,202.8,86.1,112.2,73.4,75.3,75.4,67.8,0.264,0.267
20,0,188.6,87.3,97.8,88.8,73.4,74.7,72.7,0.294,0.238
35,13,186.6,92.0,113.8,83.4,84.7,80.0,65.5,0.262,0.293
26,4,190.8,89.6,108.0,73.3,86.3,78.5,70.5,0.255,0.287
27,9,199.2,112.4,119.9,82.7,77.3,79.3,70.0,0.268,0.282
38,17,177.1,71.1,104.8,77.6,80.9,79.5,82.9,0.284,0.274
25,3,188.1,90.8,124.6,78.0,80.2,79.2,71.2,0.255,0.289
31,11,185.0,82.0,121.5,83.7,77.9,78.9,76.1,0.267,0.289
22,2,188.3,100.9,113.2,80.8,73.4,76.4,76.9,0.306,0.268
36,17,188.1,89.2,115.0,79.9,77.6,77.7,79.7,0.293,0.274
34,13,182.2,79.8,118.9,90.6,83.2,82.5,71.7,0.228,0.315
26,7,186.9,84.6,102.8,82.0,77.9,76.1,72.6,0.261,0.252
21,0,178.4,86.3,118.5,65.5,75.1,77.0,70.4,0.262,0.262
32,12,185.7,85.7,113.7,76.3,74.5,73.8,78.9,0.277,0.272
36,17,196.8,86.4,123.8,84.0,82.6,82.7,74.4,0.255,0.317
33,12,185.2,98.6,107.6,76.0,81.4,79.7,77.1,0.26,0.282
33,12,175.4,94.2,118.7,83.1,83.0,79.9,75.4,0.266,0.307
27,5,185.7,101.4,104.5,90.7,85.5,83.4,74.8,0.27,0.3
20,0,188.4,84.3,116.2,89.6,79.1,83.9,86.6,0.274,0.305
39,19,187.1,76.4,107.5,80.0,85.2,76.2,75.3,0.283,0.287
31,9,183.2,67.0,114.8,90.9,73.5,83.6,68.9,0.273,0.276
36,16,185.6,81.9,125.6,81.5,76.6,77.3,68.5,0.283,0.282
37,17,176.5,97.4,107.0,87.5,75.8,76.4,70.8,0.261,0.266
29,10,180.5,85.3,121.6,78.5,78.5,74.2,85.2,0.258,0.294
21,0,186.3,98.6,111.7,75.0,80.2,79.9,78.4,0.288,0.28
39,17,180.4,91.9,107.2,73.3,82.4,75.5,68.7,0.272,0.257
25,4,176.8,84.3,105.4,89.0,77.2,80.3,73.9,0.271,0.274
29,11,181.0,78.8,118.1,91.3,86.8,74.4,68.1,0.263,0.302
37,16,190.1,81.6,115.0,74.2,87.0,81.6,83.7,0.259,0.294
32,10,188.2,86.0,116.9,72.3,80.3,76.4,75.0,0.286,0.278
22,2,187.9,85.3,116.3,77.4,80.1,73.0,74.5,0.274,0.279
32,9,180.9,80.2,107.2,81.8,79.1,71.0,71.8,0.247,0.266
38,16,187.4,85.9,104.1,92.8,69.1,84.4,71.6,0.238,0.259
23,0,177.2,91.3,100.4,85.2,76.6,81.5,83.1,0.281,0.272
32,14,191.7,96.8,106.6,80.8,80.1,77.3,81.8,0.272,0.266
20,0,189.2,96.6,100.0,86.1,73.9,78.8,80.7,0.279,0.268
36,18,187.0,102.4,114.5,76.0,74.6,79.1,67.7,0.287,0.258
33,10,191.5,85.2,110.0,84.6,78.8,83.5,78.6,0.275,0.287
39,21,191.1,104.2,104.6,86.6,75.0,85.8,72.7,0.267,0.269
39,16,184.3,101.9,116.1,71.9,88.2,80.4,90.3,0.275,0.317
25,2,193.2,86.9,108.8,79.0,75.8,72.9,74.1,0.284,0.249
24,3,182.7,107.4,109.5,87.6,85.1,79.7,69.6,0.277,0.288
22,1,185.9,93.4,109.3,80.9,89.1,77.5,75.4,0.281,0.293
32,11,173.1,99.7,113.5,80.6,77.2,81.5,81.8,0.268,0.283
34,12,184.3,90.0,110.3,85.4,88.0,75.4,76.8,0.285,0.294
34,11,179.4,66.6,110.4,79.2,82.0,80.9,69.0,0.262,0.283
39,21,185.2,88.0,121.7,81.5,82.8,84.2,69.4,0.254,0.313
31,12,200.9,72.2,117.8,77.2,79.0,81.6,76.1,0.289,0.286
38,18,191.9,85.9,108.4,77.8,80.5,84.6,80.3,0.246,0.289
27,6,176.7,99.1,99.6,91.1,73.5,83.4,78.3,0.312,0.26
23,4,186.2,97.8,116.9,83.8,86.9,82.5,71.4,0.247,0.323
28,10,189.8,94.2,111.5,86.3,75.5,78.3,72.0,0.265,0.274
22,1,190.6,80.2,95.8,78.9,80.6,82.1,81.5,0.272,0.271
34,16,178.2,90.5,108.3,79.2,85.3,78.4,78.9,0.259,0.298
34,12,182.5,106.9,108.4,79.4,82.3,77.1,70.5,0.262,0.262
35,15,178.5,97.5,107.6,73.4,81.6,75.6,72.6,0.289,0.263
33,10,182.7,79.5,114.7,87.1,78.5,80.9,76.2,0.268,0.291
20,2,192.2,91.5,115.0,78.3,91.5,75.9,74.3,0.29,0.299
37,18,207.3,78.4,108.8,88.0,82.8,79.2,80.5,0.274,0.296
38,20,192.9,63.8,106.3,74.0,75.2,84.1,72.4,0.272,0.267
21,0,192.0,86.8,118.3,81.1,79.4,79.9,81.1,0.273,0.303
31,11,181.7,106.6,110.6,78.5,88.5,68.9,77.1,0.266,0.285
33,12,176.6,74.2,117.6,79.4,86.6,75.8,74.0,0.276,0.298
21,0,178.0,82.0,110.3,84.9,82.4,82.0,67.6,0.282,0.293
32,9,189.9,96.8,112.9,79.6,77.2,75.6,80.0,0.27,0.279
35,14,198.4,87.6,107.0,77.7,82.8,83.2,88.4,0.255,0.297
23,3,177.7,98.8,119.5,82.3,80.9,78.2,70.7,0.287,0.293
25,5,176.9,101.1,101.3,87.3,85.9,76.7,71.2,0.261,0.283
39,18,185.6,94.9,114.6,80.8,83.2,77.8,81.3,0.278,0.29
20,0,187.1,73.0,112.2,83.9,83.6,77.1,74.7,0.285,0.29
26,8,192.1,84.8,111.5,91.5,68.2,74.6,72.5,0.257,0.258
39,18,184.0,89.2,108.3,72.9,80.8,84.2,71.9,0.264,0.274
36,15,177.4,86.6,96.9,71.8,77.8,77.4,76.4,0.272,0.243
38,18,188.9,91.3,93.3,88.3,90.3,79.6,67.9,0.257,0.287
31,8,180.5,91.1,115.1,81.5,82.3,80.5,70.9,0.267,0.292
37,15,189.8,80.2,100.4,86.0,77.3,75.8,73.3,0.258,0.259
27,9,191.5,84.1,117.3,78.3,88.2,76.2,70.0,0.273,0.301
39,17,183.0,101.1,119.6,85.8,80.0,75.5,75.6,0.277,0.284
31,12,178.9,98.1,112.2,81.6,79.4,77.2,77.4,0.295,0.267
37,18,183.9,98.2,127.9,88.1,80.5,76.6,74.2,0.283,0.312
37,18,187.8,86.2,112.6,82.9,84.2,75.3,82.2,0.279,0.294
20,0,177.9,80.8,107.5,79.9,80.4,84.2,84.2,0.262,0.301
27,5,189.1,85.1,108.9,78.7,79.4,77.2,74.8,0.309,0.273
20,0,189.4,78.6,104.1,85.3,84.0,77.2,78.3,0.261,0.28
30,11,193.9,84.1,117.6,77.0,76.4,84.2,82.9,0.285,0.289
25,5,181.3,104.3,130.8,81.6,80.2,86.7,76.1,0.283,0.321
35,17,183.3,101.2,112.2,82.0,76.5,78.8,72.7,0.272,0.276
39,17,176.3,103.2,108.8,85.9,84.4,85.1,72.6,0.27,0.302
37,17,182.8,54.7,117.7,76.8,78.4,74.5,72.4,0.265,0.286
24,6,181.1,85.4,119.4,81.1,76.1,84.2,68.7,0.287,0.277
23,5,189.3,85.7,123.0,87.7,81.1,83.5,77.3,0.274,0.322
39,21,187.3,89.2,106.5,81.3,76.0,74.1,70.1,0.26,0.258
25,5,178.9,98.4,102.1,75.4,82.0,79.7,72.9,0.238,0.274
30,12,186.0,97.8,113.7,80.0,78.1,76.6,76.9,0.264,0.27
30,10,184.1,94.0,119.9,78.6,83.6,78.1,67.7,0.248,0.301
39,21,187.8,80.8,116.4,84.2,83.5,72.5,64.0,0.273,0.276
30,10,177.7,84.8,117.1,78.1,83.3,85.4,80.9,0.295,0.304
28,9,170.8,90.4,111.3,76.6,69.1,73.1,80.7,0.263,0.243
31,9,189.1,63.8,98.6,85.3,92.5,74.6,72.9,0.261,0.296
37,17,189.3,91.7,107.2,83.4,68.6,82.2,88.6,0.263,0.26
39,19,187.7,84.8,111.0,72.6,81.2,85.9,68.9,0.259,0.281
37,19,175.5,87.0,115.3,78.8,85.6,86.0,61.6,0.267,0.295
27,8,188.5,102.9,111.8,73.4,80.6,86.7,77.6,0.264,0.295
32,14,170.7,65.1,106.4,92.0,79.9,79.6,78.5,0.263,0.281
28,9,189.4,85.7,114.4,93.3,82.0,75.4,78.1,0.261,0.3
39,18,183.9,92.3,118.5,72.2,82.5,80.7,66.3,0.258,0.296
27,6,195.5,87.9,105.2,73.5,85.7,80.4,70.8,0.26,0.281
27,5,183.7,96.0,103.0,78.5,82.9,91.5,76.4,0.266,0.295
39,16,199.1,95.1,102.4,83.9,84.3,76.3,79.1,0.269,0.282
21,0,189.0,96.7,119.4,83.1,77.9,79.2,84.1,0.289,0.29
30,12,184.3,89.2,96.3,69.6,80.7,81.1,72.0,0.242,0.249
39,21,189.5,100.1,99.7,89.1,80.9,74.9,81.2,0.273,0.259
39,18,194.1,93.1,110.5,79.4,73.8,78.0,79.2,0.268,0.266
36,13,198.7,101.9,112.3,85.4,83.7,75.3,72.4,0.272,0.29
27,7,182.8,88.4,91.8,91.5,89.2,69.0,70.9,0.262,0.28
38,19,180.6,73.6,119.7,75.5,77.7,75.2,78.6,0.251,0.283
23,2,170.0,73.8,105.5,82.7,79.7,79.9,85.5,0.26,0.291
39,21,195.9,95.1,115.8,92.1,75.4,79.7,81.1,0.28,0.286
21,0,194.3,75.7,119.1,89.2,80.3,78.2,69.7,0.235,0.309
25,3,185.1,98.8,118.1,82.8,79.4,80.8,71.6,0.239,0.304
25,7,186.5,92.3,112.2,71.3,86.3,72.3,67.2,0.268,0.277
37,19,187.0,104.7,111.7,78.3,79.4,81.1,73.4,0.255,0.278
36,16,192.3,75.5,118.4,89.2,75.0,77.4,82.2,0.273,0.287
39,16,185.7,97.2,105.1,78.8,77.4,78.3,76.1,0.265,0.273
28,7,191.9,64.0,110.1,71.9,83.1,73.6,77.5,0.267,0.269
21,1,185.2,86.9,109.4,79.3,84.5,83.3,76.0,0.27,0.299
33,14,185.8,87.7,112.1,84.9,72.3,78.1,82.7,0.254,0.278
32,11,184.5,93.6,104.2,86.4,76.0,76.7,75.2,0.271,0.268
30,8,180.8,85.3,108.4,94.5,73.9,73.6,75.8,0.282,0.274
25,5,181.9,102.7,116.5,89.3,95.7,73.4,72.6,0.245,0.333
29,7,186.1,91.7,122.6,84.1,66.8,77.8,81.4,0.251,0.28
20,0,195.1,101.5,115.9,79.5,82.9,79.8,74.5,0.269,0.291
39,17,186.3,92.3,118.6,77.5,81.0,78.8,85.2,0.291,0.291
29,7,190.5,92.3,106.3,73.6,82.5,84.4,77.3,0.268,0.281
24,3,194.8,110.3,117.2,68.6,65.5,78.4,74.8,0.275,0.251
27,9,184.7,83.4,101.3,79.7,75.9,83.4,98.2,0.26,0.279
32,9,185.3,88.7,115.0,79.1,82.8,80.5,66.2,0.282,0.299
22,2,193.8,79.8,126.3,77.0,75.3,77.7,75.1,0.282,0.279
29,10,176.6,103.8,109.8,76.3,87.9,77.2,81.3,0.293,0.28
31,10,192.7,86.1,110.8,82.0,79.8,67.3,75.1,0.277,0.263
28,6,166.0,91.4,112.1,84.2,84.0,78.6,72.9,0.283,0.289
33,11,185.1,111.0,104.7,84.2,80.2,84.6,67.6,0.301,0.274
35,15,189.6,101.3,110.3,86.4,73.6,77.3,79.2,0.277,0.271
38,16,190.5,101.9,105.5,84.7,86.5,79.4,76.6,0.255,0.305
25,4,186.5,72.2,103.9,92.5,77.5,75.8,76.6,0.281,0.27
35,15,185.3,93.4,105.3,81.9,80.3,78.1,71.4,0.251,0.275
26,3,186.5,92.7,115.5,84.0,74.9,78.1,84.8,0.296,0.273
31,13,191.1,76.3,116.6,93.5,86.3,76.9,75.9,0.245,0.326
38,18,194.5,88.6,117.1,77.9,88.8,70.6,83.3,0.295,0.299
38,17,190.8,102.3,112.7,86.9,74.6,73.3,84.0,0.238,0.277
22,0,189.8,76.9,108.9,72.1,82.9,76.7,74.9,0.273,0.266
30,9,187.4,86.3,114.4,70.0,81.3,86.1,77.9,0.272,0.296
32,11,184.2,89.5,108.8,72.5,76.0,80.8,67.2,0.249,0.262
20,0,183.6,94.1,115.1,85.6,84.5,70.0,71.5,0.287,0.287
28,6,185.8,84.3,101.8,71.5,80.8,79.9,78.4,0.255,0.275
24,5,189.8,73.1,120.3,73.7,68.8,75.8,82.0,0.259,0.273
34,12,179.3,91.2,110.5,80.3,77.6,81.1,83.5,0.251,0.291
35,13,189.0,92.6,100.1,85.0,79.1,79.1,69.9,0.268,0.249
31,10,191.8,80.9,106.4,77.8,84.6,79.0,73.9,0.241,0.28
37,17,188.5,79.1,122.1,87.4,78.3,76.0,79.0,0.284,0.291
21,0,185.9,110.9,105.1,83.0,81.4,82.7,65.1,0.274,0.277
25,5,177.6,75.1,99.0,80.7,69.7,75.1,60.9,0.269,0.227
27,6,189.7,103.7,110.3,84.2,78.4,83.5,75.6,0.288,0.285
29,10,180.8,71.0,112.5,82.6,82.4,78.1,64.3,0.275,0.271
20,0,186.5,93.1,115.1,87.3,78.6,77.8,66.8,0.287,0.274
25,5,187.2,86.7,112.8,84.6,68.5,83.3,75.4,0.266,0.253
39,16,190.5,83.6,115.5,82.8,71.5,74.3,75.3,0.274,0.255
25,6,187.8,68.6,114.1,85.0,82.9,76.7,74.0,0.254,0.287
20,2,180.5,83.9,107.0,75.3,81.8,80.5,80.9,0.288,0.277
32,10,174.8,76.4,110.6,80.1,76.3,84.6,75.4,0.279,0.273
30,9,188.8,89.4,103.1,78.4,80.7,77.6,78.3,0.279,0.262
38,15,174.3,101.1,112.0,84.9,84.6,89.1,76.3,0.263,0.304
30,7,183.1,94.6,110.6,88.0,81.2,79.0,65.0,0.254,0.279
35,16,191.4,89.8,123.2,82.7,78.1,80.0,76.9,0.258,0.299
31,13,173.1,72.0,103.5,86.7,80.1,87.4,81.8,0.261,0.286
32,13,179.4,88.9,115.5,90.2,77.5,81.8,82.2,0.258,0.293
33,11,185.8,102.3,109.6,77.8,69.7,78.0,73.6,0.259,0.262
32,14,191.2,69.8,103.2,85.8,76.3,77.1,67.3,0.276,0.263
28,8,178.3,89.1,114.8,84.6,77.6,81.6,65.5,0.267,0.28
26,6,196.0,100.5,91.2,78.4,80.2,87.2,69.4,0.258,0.267
38,19,180.0,97.9,106.5,88.7,83.9,85.5,71.0,0.265,0.302
30,7,192.9,80.0,112.9,81.0,80.4,69.4,80.1,0.259,0.273
27,6,185.6,93.2,117.2,72.6,85.4,77.5,75.6,0.27,0.303
30,7,181.9,100.8,108.5,91.3,75.8,77.5,74.7,0.283,0.274
37,17,183.7,97.7,107.3,80.2,78.8,80.9,74.9,0.31,0.274
32,10,175.5,99.4,126.7,76.0,79.1,79.4,76.2,0.295,0.295
30,12,182.5,88.9,108.5,90.0,79.3,69.1,74.3,0.269,0.274
21,1,180.4,101.8,108.8,78.2,87.2,81.6,75.3,0.264,0.288
20,0,166.9,88.9,107.4,86.6,72.8,84.0,74.8,0.27,0.258
25,6,179.8,69.9,114.4,85.8,79.8,75.2,69.7,0.252,0.281
32,11,170.9,102.1,116.9,79.2,75.6,79.2,75.0,0.277,0.293
26,7,179.3,64.4,113.0,96.3,81.2,77.6,64.0,0.275,0.285
32,10,183.5,75.7,114.7,87.6,73.2,75.7,69.6,0.251,0.272
26,8,193.0,71.2,123.1,86.1,71.0,75.5,77.1,0.294,0.271
29,9,182.3,67.0,109.5,79.4,84.8,81.6,85.9,0.243,0.311
20,1,191.9,89.4,114.4,87.8,80.7,75.8,82.1,0.277,0.294
26,3,183.6,84.3,101.5,80.3,76.7,74.7,62.6,0.283,0.249
25,6,181.2,94.7,114.6,90.9,75.0,81.0,85.0,0.291,0.296
20,0,173.1,83.4,125.8,86.1,82.6,78.9,74.4,0.261,0.312
33,12,173.1,97.3,114.8,73.0,82.4,78.7,72.3,0.263,0.281
28,10,189.0,89.8,108.6,81.4,85.5,75.6,74.9,0.292,0.283
29,8,180.3,96.0,124.7,81.2,78.0,78.9,78.6,0.239,0.29
39,20,195.4,81.1,119.5,84.9,74.7,79.2,82.9,0.277,0.287
37,16,189.9,102.0,112.5,78.3,74.0,86.0,74.7,0.284,0.272
38,16,187.6,89.1,126.5,74.2,76.3,80.4,74.1,0.277,0.301
38,15,187.2,91.4,115.2,74.6,81.0,79.4,69.3,0.275,0.28
22,3,177.9,84.5,123.3,77.1,75.2,83.2,65.2,0.29,0.275
28,7,194.5,99.0,116.1,76.1,77.2,78.2,64.2,0.256,0.268
23,5,178.4,99.7,113.1,74.2,76.1,78.4,72.0,0.277,0.268
