"horas_estudio","tiempo_lectura","horas_sueno","uso_redes","motivacion","asistencia","nivel_socioeconomico","apoyo_familiar","estres","rendimiento_academico"
3,3,9,2,10,89,5,7,4,86.56
5,5,6,4,6,98,1,7,6,83.87
6,6,6,8,2,75,2,8,10,85.35
3,4,7,5,3,97,4,10,5,80.81
10,10,9,6,4,67,1,9,3,80.08
6,6,8,7,8,86,3,10,9,92.6
7,5,5,2,4,86,1,2,4,78.25
3,5,5,6,6,84,5,9,9,87.3
4,5,8,1,4,99,5,1,5,79.34
2,4,8,4,2,96,5,9,3,78.1
2,2,9,1,3,97,4,2,9,78.55
4,4,9,6,6,81,1,6,10,86.5
3,3,7,7,8,80,1,7,10,88.54
6,6,4,3,7,64,5,4,2,84.26
6,6,6,8,3,95,3,10,6,84.69
1,1,6,2,8,78,3,5,9,80.79
5,5,7,6,1,64,4,8,10,82.06
6,6,7,2,3,67,2,2,7,77.19
4,5,6,5,4,68,4,8,2,81.18
6,6,4,7,2,92,1,8,3,80.32
2,2,5,3,1,82,3,10,10,79.94
2,2,6,3,2,87,1,6,10,78.16
2,2,6,1,8,66,1,5,10,82.96
9,8,9,3,9,83,3,3,2,87.54
8,8,5,6,10,99,1,10,6,93.98
1,1,5,7,4,81,3,7,4,78.65
7,8,5,3,4,88,4,6,7,82.68
10,10,6,2,10,87,4,3,2,91.06
9,9,6,8,5,76,5,2,4,85.24
10,10,8,2,9,69,5,1,9,90.24
7,8,4,2,7,98,4,5,8,88.54
9,9,8,5,1,99,4,5,10,78.73
7,7,9,7,3,64,3,5,7,81.29
8,7,8,2,8,90,4,9,4,88.8
10,9,5,5,6,80,4,7,1,84.86
10,10,5,5,1,89,2,7,3,73.38
8,7,9,6,5,77,5,9,9,87.91
10,10,7,8,8,63,3,1,4,87.96
8,9,5,2,3,95,3,5,7,79.39
8,7,6,8,9,98,3,5,5,93.24
1,1,7,2,7,91,3,7,10,82.74
4,6,9,1,6,96,5,8,2,83.53
5,5,5,3,2,97,2,4,2,76.78
10,10,4,7,6,80,4,3,8,86.87
5,5,6,7,5,100,1,9,5,84.97
1,2,7,4,1,60,4,8,2,73.42
2,2,9,7,6,99,4,4,1,81.63
6,9,4,4,2,82,1,8,2,77.67
6,5,9,1,10,75,3,6,6,89.69
3,3,7,4,6,75,3,7,4,80.94
5,5,9,3,9,87,1,5,3,85.22
3,3,7,2,3,63,2,6,6,76.35
2,2,5,5,7,83,4,3,4,80.62
10,10,6,3,1,96,1,6,2,72.07
7,8,6,8,5,74,3,3,9,86.82
1,2,9,8,1,83,5,3,6,77.23
9,10,6,8,4,91,4,5,7,85.14
10,9,5,7,8,66,3,8,6,90.51
4,4,6,3,2,63,4,3,6,76.05
3,3,7,4,9,70,5,8,4,85.64
7,6,4,6,1,92,1,2,8,76.59
5,5,9,8,9,88,1,8,6,90.93
7,7,6,1,4,85,3,5,2,79.3
9,10,6,4,2,68,1,9,5,75.77
5,5,7,6,6,83,4,3,2,84.18
6,5,8,1,2,81,5,7,6,79.38
2,3,8,3,10,89,1,8,1,83.3
3,4,6,7,3,66,3,8,9,82.75
8,7,4,1,9,86,1,8,10,92.87
4,4,7,8,9,60,1,9,9,91.05
9,9,8,8,6,72,2,1,4,84.23
3,5,6,6,7,65,1,3,9,84.19
7,5,9,1,7,67,3,7,6,84.58
8,8,9,4,1,87,1,2,1,72.4
9,10,6,2,1,95,1,5,10,76.8
2,1,9,7,1,87,1,5,5,74.65
2,1,5,6,9,87,4,10,10,89.54
5,5,5,2,7,90,5,2,8,85.6
6,5,5,2,10,74,2,7,3,88.96
6,8,7,3,9,66,4,10,9,92.25
3,2,9,3,9,65,5,1,10,85.85
5,6,9,2,1,84,4,8,7,78.02
8,9,7,2,9,79,2,7,1,88.97
4,4,7,2,8,97,3,7,6,86.18
10,10,7,8,6,77,4,5,10,90.79
10,8,8,2,6,82,2,10,9,85.62
4,3,4,1,3,72,3,2,5,76.33
3,2,5,5,1,91,4,3,5,75.64
8,8,8,8,1,98,1,1,6,76.9
4,6,6,4,6,88,1,8,2,82.54
10,10,4,4,6,81,2,6,8,85.06
9,10,5,6,8,66,1,7,1,88.98
1,1,5,1,1,63,2,10,2,72.67
7,6,4,1,3,97,4,10,9,83.16
5,6,7,2,8,98,2,1,6,84.33
5,4,6,5,7,97,1,2,8,84.91
10,9,9,3,5,80,1,8,4,79.33
10,10,5,1,4,93,2,4,5,77.88
10,9,6,5,9,68,2,1,3,87.21
6,5,4,3,1,85,5,5,1,77.04
9,10,7,7,1,77,1,4,5,75.25
9,9,5,4,10,73,4,8,4,92.42
6,7,8,3,2,75,2,3,1,76.15
9,10,5,8,3,81,4,10,7,85.2
3,4,8,2,9,72,5,3,6,83.97
2,2,7,4,2,75,1,4,2,73.93
6,5,5,4,10,80,1,3,10,91.36
1,1,5,5,2,82,5,3,8,76.74
3,2,8,1,9,86,1,2,8,83.32
5,5,9,2,6,93,2,8,9,85.35
8,7,6,8,9,85,2,6,10,96.68
8,7,7,5,10,80,1,7,7,91.76
2,3,9,6,5,89,4,8,4,81.11
10,10,6,2,4,100,3,7,10,84.03
2,1,6,1,1,62,5,3,8,75.74
1,2,5,6,2,85,2,5,9,78.09
6,6,9,7,9,99,3,10,9,95.67
6,8,8,2,6,65,2,7,1,82.86
9,10,7,3,4,94,1,8,4,80.6
1,1,5,6,1,94,5,8,1,76.86
3,4,6,5,5,88,4,4,3,81.23
7,6,7,1,3,82,1,2,8,78.09
7,7,4,3,10,85,3,9,8,92.84
8,7,8,7,1,99,1,8,5,77.54
7,7,7,5,8,71,4,6,10,91.91
4,4,9,1,1,87,5,6,6,76.15
5,6,8,1,4,76,5,9,1,81.88
10,8,8,1,3,98,1,5,9,77.91
10,10,7,5,10,81,4,7,1,93.43
9,10,7,7,4,99,5,4,10,88.05
7,8,6,5,9,71,4,9,7,91.87
9,10,8,5,2,66,3,7,8,78.92
9,9,7,5,5,82,3,7,7,83.81
2,2,6,7,5,67,4,3,10,83.66
2,3,5,5,3,98,4,5,3,78.12
8,7,9,4,10,92,1,8,10,94.31
4,2,9,1,1,64,3,1,3,72.2
2,2,8,3,10,61,2,4,8,82.54
9,6,9,2,3,97,2,1,10,78.71
2,1,8,5,5,70,4,9,5,80.34
8,7,4,7,2,98,3,9,8,82.83
8,8,4,1,9,81,5,5,5,89.76
1,2,6,2,5,81,3,10,8,80.07
10,10,7,7,8,85,4,5,4,90.35
4,5,7,3,3,84,2,8,1,79.16
7,7,5,8,5,80,4,6,2,86.02
1,1,8,7,4,87,1,9,9,81.45
1,1,9,2,8,66,3,7,5,78.4
10,9,9,6,5,62,3,5,4,81.16
1,1,7,1,10,86,4,3,7,81.3
10,10,4,4,7,63,4,4,1,85.04
6,6,4,7,2,65,1,4,9,80.22
7,7,7,8,1,66,3,10,4,79.88
2,2,9,3,8,75,3,2,10,82.72
4,4,7,4,3,93,2,4,10,81.49
10,9,4,7,6,96,5,9,5,88.33
5,7,5,8,5,89,2,10,9,88.99
9,10,4,7,6,90,3,9,8,89.88
10,10,8,7,1,78,1,6,10,78.2
1,1,5,3,2,100,2,6,9,76.79
10,10,5,5,8,76,3,1,3,85.65
7,9,8,8,9,81,5,4,5,93.01
10,10,5,7,5,98,4,8,2,85.85
9,9,6,8,7,67,1,6,9,90.6
7,8,4,1,7,62,3,3,9,86.14
1,2,8,3,3,80,2,2,1,73.1
2,3,5,5,5,79,1,7,8,80.81
2,3,8,4,10,70,5,10,10,88.91
4,5,4,8,4,94,4,3,2,83.24
9,9,8,4,10,80,1,5,8,91.49
2,2,9,8,8,78,1,8,6,83.95
10,10,7,4,10,100,3,7,10,96.72
5,3,8,6,9,78,2,10,1,89.55
3,4,9,5,6,74,5,9,5,83.58
1,1,4,5,2,83,1,10,7,76.6
9,8,6,5,5,98,1,8,9,85.42
6,7,4,4,3,96,5,9,3,81.67
2,2,5,7,9,97,1,9,2,85.5
10,7,8,7,1,80,4,8,5,75.83
4,3,9,5,3,83,4,10,3,80.76
8,6,5,1,10,100,5,4,5,91.92
8,8,6,2,2,70,1,5,1,74.55
6,5,7,6,9,60,3,2,6,88.21
10,10,9,6,4,76,1,10,5,80.66
4,4,5,1,7,84,1,1,8,82.58
6,7,5,4,4,84,3,9,6,82.57
10,9,9,3,8,82,4,1,1,86.23
8,8,6,8,5,91,5,7,2,87.76
8,7,5,3,2,72,4,1,7,75.96
3,5,4,5,6,71,1,9,4,80.96
4,2,6,8,4,79,1,6,1,81.69
6,7,7,6,6,87,1,6,9,87.85
6,7,6,7,1,70,5,2,1,77.99
3,3,8,5,2,72,2,9,6,77.82
8,8,7,1,10,71,4,10,2,91.91
10,10,5,4,5,64,3,7,5,81.25
2,2,7,2,4,86,3,6,5,77.06
7,7,7,3,4,82,1,5,9,81.6
8,8,6,8,8,61,5,6,10,96.11
6,4,6,4,5,99,4,6,8,85.57
8,8,6,5,6,100,2,2,2,83.74
5,4,4,6,2,72,2,2,10,80.75
2,2,4,7,4,80,4,8,4,81.3
9,9,9,1,8,93,3,1,5,85.77
4,4,4,6,1,68,3,4,6,77.03
6,6,4,8,4,78,3,9,9,87.82
9,10,6,3,6,70,2,4,1,82.25
7,9,9,6,1,87,5,8,7,80.07
4,5,9,1,6,96,5,7,4,82.58
1,2,7,2,4,66,3,9,7,77.85
6,7,9,2,5,86,5,4,4,82.04
5,5,9,5,2,70,2,7,7,78.33
10,9,5,1,8,95,3,4,1,86.96
7,7,5,4,8,66,3,2,7,86.86
8,10,7,2,6,78,3,6,2,84.44
2,2,9,6,9,66,5,5,6,84.62
2,2,6,7,10,79,1,9,5,86.05
8,8,9,3,5,81,1,6,6,80.48
2,1,9,2,6,72,5,2,10,81.95
7,7,9,3,5,80,3,6,4,81.15
7,7,7,4,3,99,3,9,1,80.93
4,4,4,2,7,80,5,1,8,84.11
1,1,6,3,5,96,1,10,3,77
7,7,8,5,1,87,2,6,6,76.94
3,4,9,2,2,78,1,8,3,75.13
6,5,7,8,4,73,5,1,9,85.94
5,5,8,8,8,94,4,10,10,95.44
5,5,4,5,10,98,1,4,8,90
8,8,7,8,3,92,5,9,9,86.71
6,6,8,6,5,77,4,2,8,84.07
4,3,7,4,2,99,2,1,6,75.82
9,9,4,1,10,61,4,5,10,94.23
9,8,7,1,9,82,4,6,7,91.33
10,10,9,5,8,84,3,2,5,85.99
6,6,7,3,5,86,4,5,6,82.57
10,9,8,1,7,100,2,7,6,84.93
3,3,8,6,10,61,2,9,6,87.24
2,3,9,4,10,68,2,5,6,82.29
7,7,9,3,10,67,4,7,5,90.4
1,1,5,2,2,92,3,3,3,72.37
9,7,7,5,4,89,3,6,1,80.56
9,8,7,8,7,94,1,6,5,88.25
1,1,8,2,3,88,4,6,6,75.11
5,5,5,8,6,91,4,2,4,85.55
2,1,5,7,10,89,1,9,10,89.68
4,4,6,7,10,83,3,2,9,91.14
2,1,6,6,9,67,5,4,3,83.17
7,8,9,3,5,83,4,9,8,84.87
7,6,8,3,10,74,4,5,8,91.73
2,3,7,5,3,99,2,6,6,77.78
2,3,5,6,2,67,1,8,4,76.44
9,10,8,3,4,83,1,2,4,77.69
6,4,6,4,4,62,5,6,2,81.01
2,1,5,1,10,90,1,6,9,85.07
2,4,7,6,6,86,3,9,9,85.02
3,3,8,3,7,61,3,1,7,80.36
9,6,9,2,9,64,3,7,10,91.07
9,8,4,5,2,70,1,4,7,75.77
2,1,4,8,6,80,2,5,3,82.41
9,9,7,3,2,87,5,4,10,80.2
4,5,6,2,4,70,1,4,2,77.57
1,1,8,5,10,95,3,10,5,83.5
1,2,4,7,3,73,2,5,8,78.32
8,8,8,4,2,93,5,8,7,80.18
9,9,5,7,1,63,3,7,4,76.41
1,1,9,7,8,71,4,9,5,82.65
10,10,5,1,10,86,5,9,4,93.26
7,8,8,2,8,83,2,3,2,84.74
2,2,5,3,7,68,4,3,2,79.71
4,4,9,8,5,86,3,4,9,85.87
3,3,7,8,2,86,1,7,1,79.93
3,4,7,6,6,95,5,6,1,84.26
8,9,8,5,7,63,2,8,7,88.1
10,9,4,7,7,84,1,8,1,87.52
8,9,7,2,2,72,5,8,5,78.19
4,4,8,2,2,65,2,3,6,74.89
3,3,9,5,7,75,3,4,2,81.13
2,2,6,8,1,72,4,5,3,77.76
7,6,5,2,2,87,5,3,8,79.19
1,1,5,6,4,84,2,9,7,79.43
2,1,4,4,7,79,3,2,7,80.13
1,3,7,5,2,90,5,10,2,78.02
1,1,6,1,2,65,1,7,5,71.97
6,6,7,3,3,87,5,8,3,80.17
9,9,5,6,8,72,4,8,10,94.04
10,9,8,6,4,78,5,10,3,82.42
5,6,7,6,6,65,2,3,7,83.11
2,1,8,2,3,86,1,8,4,75.27
6,5,4,1,4,94,5,10,10,86.82
8,8,7,2,7,89,4,4,10,89.84
9,8,9,8,9,63,5,2,3,90.63
6,5,5,3,3,68,4,4,3,77.57
4,5,5,7,9,98,4,6,1,88.97
8,7,5,1,7,82,3,5,10,88.94
10,9,4,4,6,99,2,7,8,85.67
7,5,9,2,8,66,5,4,7,87.09
5,5,8,7,7,70,4,4,7,87.47
5,6,4,4,2,64,4,10,6,79.4
8,8,8,3,7,70,2,3,8,84.88
6,6,9,7,5,79,3,1,6,82.53
4,4,5,4,10,84,1,8,1,86.5
7,7,8,1,3,68,2,6,9,79.89
10,9,5,5,6,71,3,6,5,83.62
4,2,5,3,4,96,1,3,2,78.21
4,4,7,3,2,65,2,10,9,80.09
1,3,8,5,7,77,1,9,4,78.92
4,5,5,7,1,62,1,6,4,76.57
4,4,5,3,7,99,4,1,7,83.97
7,5,4,6,4,82,4,4,3,81.57
9,8,7,2,1,61,2,8,3,72.74
10,10,5,4,2,91,1,4,6,74.35
1,2,4,3,7,86,3,2,4,76.69
4,4,8,5,7,91,2,5,7,84.88
1,1,5,5,1,89,4,5,1,75.08
5,5,9,1,8,80,4,4,2,84.87
8,7,9,7,10,99,3,9,1,95.1
2,2,6,2,6,67,5,5,1,79.74
10,10,9,3,3,67,3,4,5,75.7
6,6,6,1,2,65,5,10,3,79.28
4,4,4,8,7,84,5,2,1,87.37
5,4,4,2,2,93,3,5,9,79.83
5,6,9,8,1,71,4,8,8,81.6
6,6,5,5,8,66,5,2,10,90.54
10,8,7,1,10,74,2,2,2,88.72
5,6,8,8,5,86,1,6,5,84.5
4,3,7,8,1,71,2,4,6,78.26
10,8,4,1,4,89,2,1,9,79.24
1,1,7,3,7,99,5,7,9,83.22
7,9,5,7,1,96,1,5,3,78.11
3,2,6,2,10,60,5,9,7,87.37
8,9,5,6,5,78,4,7,6,85.27
1,1,9,8,5,60,1,3,2,76.3
2,2,6,7,3,84,4,10,7,82.19
6,7,5,7,7,92,5,3,7,89.23
9,7,7,3,8,63,2,5,8,86.88
2,1,9,3,2,70,2,8,7,75.5
5,6,7,7,4,80,5,9,1,85.37
1,1,4,1,2,74,1,7,10,76.93
2,1,6,6,1,74,5,9,5,78.5
7,8,5,1,10,71,3,8,1,91.11
6,5,5,4,5,80,4,3,8,83.64
7,9,4,1,10,98,3,4,4,90.21
3,5,8,4,5,77,4,8,7,82.19
4,4,6,2,6,61,4,7,2,81.73
5,4,7,4,6,95,4,8,1,84.41
10,10,7,4,6,61,3,7,9,85.68
9,9,4,2,4,99,1,7,1,79.47
6,6,9,4,7,60,4,4,3,83.92
4,5,4,2,4,74,3,9,7,81.07
9,8,7,4,2,86,3,10,6,78.36
4,4,7,7,5,68,2,8,3,83.13
6,4,5,4,9,82,5,6,2,89.19
1,1,5,6,9,75,4,10,2,82.81
4,4,4,3,1,88,1,7,9,77.8
6,7,6,2,6,96,1,4,9,85.32
5,5,4,2,8,68,1,10,3,84.82
5,5,7,7,9,98,4,7,5,91.38
2,1,7,8,10,92,3,7,6,87.68
2,2,7,5,2,86,1,2,4,74.29
3,3,9,5,2,76,1,10,5,77.73
8,8,9,2,5,97,5,3,4,82.04
6,5,5,5,9,74,2,7,3,88.49
3,3,7,8,8,90,3,8,7,88.31
1,3,4,8,10,69,1,10,6,85.12
7,6,7,3,7,90,5,4,2,84.82
4,4,5,7,2,91,2,8,5,79.94
5,6,6,6,8,75,2,6,5,86.39
9,8,7,4,5,84,1,2,8,81.06
8,8,5,5,10,60,2,6,2,91.06
5,6,7,7,1,98,2,9,9,82.43
3,2,6,5,1,66,1,6,4,74.42
4,4,9,1,8,89,2,10,3,84.76
7,7,4,2,3,100,4,10,6,81.88
10,9,7,5,4,61,4,3,7,80.01
2,1,7,1,6,92,2,4,9,80.59
2,1,7,1,7,93,5,10,6,82.8
9,10,9,6,2,75,4,7,5,78.35
10,8,9,6,2,98,2,7,6,76.51
2,2,7,7,6,79,3,7,6,82.63
8,8,8,5,7,72,5,6,9,90.02
9,9,8,8,1,92,3,4,5,77.46
6,6,4,1,8,66,3,4,3,85.06
1,1,8,5,6,98,5,6,5,79.82
8,8,8,5,1,74,5,9,10,81.11
6,7,9,1,5,82,3,6,9,84.06
3,4,8,2,7,94,1,4,3,80.15
5,5,5,6,3,83,1,7,2,79.95
9,10,6,8,9,88,2,5,8,94.67
7,9,8,5,2,79,4,7,10,83.29
10,10,8,6,5,84,1,10,10,87.41
7,6,8,5,5,92,1,4,9,84.5
4,5,7,2,9,91,3,4,9,87.79
2,1,6,6,4,97,3,2,1,77.98
1,1,8,7,4,70,1,3,8,76.98
1,1,6,4,9,93,2,10,3,81.25
2,1,4,7,3,93,4,10,3,80
8,7,7,8,1,81,5,9,1,80.78
3,5,5,8,2,86,4,10,10,86.17
3,2,9,3,5,81,3,9,5,79.99
1,1,8,4,2,62,2,6,2,72.63
1,1,5,1,9,87,1,5,9,81.49
4,3,9,6,8,92,2,6,1,85.72
2,4,6,3,2,79,5,6,2,75.88
10,10,8,6,3,75,5,9,5,80.47
6,5,4,7,3,99,5,2,5,81.89
3,3,6,6,5,99,4,7,5,82.56
5,6,6,3,4,100,3,10,4,81.58
7,7,5,8,9,84,3,7,5,93.36
4,4,9,7,7,61,5,5,7,87.21
3,3,9,5,5,87,1,1,10,81.23
4,4,8,1,8,97,3,4,4,83.71
8,9,8,1,2,78,3,2,7,76.57
7,7,7,7,9,87,3,4,10,94.95
10,10,6,2,1,99,3,5,7,74.06
5,5,4,3,9,80,5,3,7,88.06
4,4,4,3,8,72,3,8,6,85.62
10,10,5,7,5,78,4,3,5,82.93
4,4,5,7,5,77,1,8,10,87.56
4,4,4,4,6,65,2,5,9,83.65
5,4,4,4,4,61,1,8,1,79.2
2,1,4,6,2,75,1,5,1,75.79
1,3,7,2,1,70,2,9,7,74.11
10,10,6,1,10,74,4,7,10,94.92
4,5,4,8,9,96,3,5,7,90.51
8,10,4,3,3,61,2,10,5,79.05
3,5,4,1,9,80,3,2,5,82.83
4,5,5,4,7,68,2,4,6,82.56
1,2,5,2,3,69,4,5,10,78.6
6,6,7,6,6,93,2,2,2,83.27
5,4,5,5,1,60,2,2,3,74.06
5,4,4,3,1,74,2,9,4,76.16
7,7,6,6,9,74,3,5,6,91.01
6,6,6,1,3,62,3,1,6,76.77
1,1,4,7,4,60,3,5,9,80.44
6,7,7,5,10,74,5,10,8,94.1
6,6,8,1,4,81,4,3,2,79.28
5,7,5,5,5,90,4,7,5,84.17
10,10,7,2,8,95,5,8,1,88.9
1,1,4,5,9,86,2,3,1,80.49
7,7,7,2,9,88,5,2,3,87.87
6,8,7,6,7,91,3,4,9,89.6
3,4,7,5,6,88,1,2,6,80.12
8,8,9,1,2,71,2,10,8,78.68
7,8,9,1,8,73,1,2,1,84.02
6,8,7,5,1,99,2,8,2,77.71
10,10,7,2,3,60,4,6,4,75.92
6,8,9,4,1,75,5,4,1,76.87
5,7,8,7,10,72,2,3,10,93.07
4,4,7,1,1,76,3,7,3,75.73
8,8,7,4,5,80,3,9,9,86.12
2,3,6,5,6,79,4,7,1,81.44
6,6,9,2,5,68,1,9,3,80.03
8,9,6,6,2,100,1,10,8,81.58
9,9,9,1,10,67,1,1,3,86.97
8,8,9,1,3,91,2,10,10,83.39
8,8,4,7,10,91,1,7,8,95.02
8,7,5,1,7,72,1,9,3,84.82
2,2,8,2,10,85,4,2,10,85.88
3,3,4,5,9,93,5,4,10,89.73
8,7,8,1,10,97,3,4,8,91.8
8,6,8,7,5,66,2,5,9,85.57
3,1,9,3,4,85,5,2,8,79.31
3,1,5,1,7,93,4,6,7,83.87
7,7,7,6,1,85,5,8,6,79.09
9,9,4,5,5,94,4,3,1,82.7
4,2,4,3,1,88,3,8,5,76.36
10,10,9,7,2,87,5,10,10,84.33
10,10,9,3,3,80,3,10,10,81.83
1,1,8,4,1,73,3,3,10,76.15
7,7,7,6,6,69,4,5,1,84.99
6,7,8,5,6,84,5,10,1,86.57
2,3,8,2,7,83,2,3,6,78.46
6,5,7,8,8,91,2,2,1,88.24
8,10,8,1,3,100,4,5,4,79.12
7,9,9,7,1,100,5,5,3,78.8
9,9,6,1,7,80,3,1,7,85.16
8,7,6,6,8,99,2,10,6,90.99
1,1,5,8,8,69,2,10,5,83.6
5,5,7,4,2,97,4,10,7,81.54
1,1,7,2,6,98,1,10,1,78.08
9,8,8,4,3,60,3,7,8,79.63
4,3,5,5,9,76,3,9,1,87.31
9,8,6,3,2,89,3,4,3,75.54
6,5,6,3,5,77,5,5,8,84.13
2,2,8,7,2,61,1,8,8,78.4
5,5,4,2,3,97,1,8,7,79.87
4,6,6,3,4,94,2,4,4,78.54
10,10,8,2,6,77,1,5,10,85.18
3,2,7,5,6,97,4,8,10,87.26
4,4,9,1,8,86,2,2,10,86.03
3,4,7,6,9,71,1,2,7,83.76
7,8,8,2,2,87,5,1,6,76.92
7,7,8,7,1,94,1,3,7,77.8
2,1,4,4,6,78,2,6,1,78.44
10,10,4,5,7,63,2,9,10,89.48
10,9,8,7,4,95,3,2,10,84.12
