temperatura,presion,velocidad_linea,humedad,vibracion,consumo_energia,experiencia_operador,mantenimiento_dias,espesor_material,dureza_material,calidad
56.5052,207.6598,81.0023,45.473,7.5701,137.1428,14.3096,13.0431,3.0315,255.7805,Baja
144.8886,97.2334,31.0321,78.3292,5.4389,926.9676,5.8086,0.8882,6.8952,367.8604,Baja
146.5632,127.235,67.5282,51.799,8.7685,648.1735,16.382,16.1105,1.6961,142.5735,Baja
130.8397,126.9742,31.2114,70.3691,5.4354,826.5829,19.0562,11.4631,10.1686,295.5611,Alta
80.4614,153.4432,74.2294,27.5217,2.3826,445.4875,9.8395,30.4972,2.0849,277.0711,Alta
59.7672,246.6627,88.631,79.2283,8.5109,524.6587,14.3203,12.2222,1.8124,186.4161,Baja
118.4233,91.4754,21.4122,71.5003,5.5722,881.9657,15.0035,45.7914,7.7926,220.1079,Baja
94.0152,168.1792,87.9936,34.8202,2.0684,473.3632,13.5827,14.4822,14.409,486.8473,Alta
62.2038,110.492,63.4218,30.17,6.2351,581.1936,11.3952,42.4181,6.9751,215.4594,Baja
99.5177,245.015,21.4399,42.1405,3.5772,118.1754,17.7513,34.7083,5.9907,185.3705,Baja
53.4389,99.2616,48.4788,88.3249,8.4441,242.7382,9.5296,59.175,14.9714,314.4837,Baja
140.932,148.6122,24.4774,37.9782,4.533,677.5179,2.161,59.9941,8.4476,368.3832,Alta
75.878,205.4404,73.0313,51.9289,7.2644,745.2792,17.0466,52.1716,6.2534,390.0372,Media
116.2522,199.7743,78.2981,22.1014,0.9554,624.3408,13.8056,45.599,6.4021,401.6989,Alta
81.1711,151.8639,19.5217,47.8059,3.9602,228.979,17.1359,23.1874,3.7294,114.733,Alta
102.0068,138.9091,55.5526,59.9924,9.8324,500.8649,3.6324,45.1966,8.1711,257.5042,Media
104.671,147.5941,83.3163,86.7187,8.0846,419.5853,1.5843,57.4005,7.144,409.5832,Alta
68.4854,124.927,94.2547,56.1715,1.5994,546.0952,18.7531,1.4027,4.7911,461.9408,Alta
146.9585,114.9066,56.2166,77.3375,2.7776,883.2961,3.8068,32.2749,3.2476,340.88,Media
127.5133,162.1167,95.5251,58.2989,3.2982,798.2753,16.3834,13.0799,5.3573,120.9227,Alta
143.9499,125.6507,58.212,22.855,6.5037,175.5906,16.641,33.4726,8.1216,258.6583,Media
139.4827,128.8685,45.4771,42.0506,7.5699,901.2783,14.4654,27.9868,1.8167,129.6908,Media
109.79,191.6485,86.3383,60.2885,7.4953,524.5904,3.494,34.5461,3.1524,399.4151,Alta
142.1874,244.6513,54.3684,86.5416,5.0987,769.4759,13.6806,33.0577,14.2672,125.4022,Baja
58.8493,182.6183,52.4712,80.1391,8.1082,226.0353,17.8926,57.6064,8.6,174.2924,Media
69.5983,93.0865,54.1281,35.9849,4.3708,703.6476,9.0851,33.1312,1.8883,266.7834,Baja
54.5227,92.8492,86.2107,35.4077,1.2388,312.6934,8.8568,50.7739,10.7032,285.0593,Baja
82.533,241.7419,84.8747,34.0821,5.6444,494.5428,9.4143,19.1892,1.8652,262.5927,Baja
88.8677,130.5394,46.3168,84.5749,9.523,115.1766,2.5632,26.286,11.3442,285.3587,Media
77.1349,95.6514,39.997,79.6866,7.9299,236.4496,17.9485,28.2248,11.4995,385.2957,Baja
132.8738,181.8376,54.2735,74.2418,5.787,182.8724,17.5145,16.7237,10.1151,247.7075,Media
85.6753,186.0203,61.5495,47.4915,6.4681,315.7698,19.9603,22.7874,11.2509,319.1002,Media
78.0935,190.2458,31.4503,55.3066,9.3056,190.0163,12.1185,35.9108,2.2315,221.3477,Media
104.2696,125.4583,81.456,52.5032,4.2834,722.719,15.2726,34.8113,11.1749,241.451,Media
64.0924,82.5688,53.7834,37.7379,3.3139,126.1359,4.8508,38.1861,2.9136,345.5196,Baja
130.2197,244.0526,40.0641,55.352,9.7724,655.9665,13.683,21.1091,5.7531,296.1979,Baja
57.4551,122.6518,19.6139,22.1348,8.6344,226.637,13.3449,18.9499,14.1984,389.2145,Baja
148.6887,194.9245,31.4961,29.2267,3.2304,950.6453,18.123,36.6971,8.0403,324.2154,Media
127.2245,200.1271,95.4353,82.0613,4.6378,939.7847,16.7851,7.9717,14.544,421.4296,Alta
69.8716,183.7013,37.459,72.6176,4.1508,302.9528,18.8309,15.1819,2.2449,277.3633,Alta
50.5522,133.1943,25.1973,49.6008,1.491,652.9792,17.5078,2.5277,7.6858,296.4134,Alta
131.5461,126.0864,51.4606,56.2005,9.5782,125.2048,17.5052,4.3567,1.8736,367.9885,Baja
120.6857,181.6036,37.6379,45.8999,4.0431,938.6097,2.2107,14.603,9.8229,188.4976,Alta
122.9007,227.2363,13.1643,71.8546,8.7533,570.6886,17.0733,1.1718,2.1019,254.3718,Baja
127.127,240.9447,39.0831,74.8931,1.8936,138.9008,12.5421,14.7246,3.4551,349.9365,Baja
57.4045,98.004,58.9698,73.43,5.4787,408.25,8.2284,39.2986,4.6236,111.5505,Baja
85.8466,106.3209,59.6541,70.5828,0.2396,169.1645,2.0738,3.6664,11.4824,274.7886,Alta
61.5869,240.6052,42.0903,34.3153,7.6422,453.65,13.8758,26.2042,3.2955,339.54,Baja
136.3103,205.211,50.2572,43.6579,5.8091,702.9337,7.2358,54.7865,12.8528,486.9502,Media
112.3298,230.109,96.8966,52.8892,6.2559,522.9009,9.8877,47.4771,2.8467,450.8066,Baja
83.0898,114.4475,43.9614,43.1555,0.5172,445.35,13.9528,18.3263,1.4934,212.2968,Alta
56.3558,179.8896,33.2404,72.8458,2.1104,207.2413,18.3237,55.4883,6.5306,302.884,Alta
81.0982,199.1937,31.912,43.0547,0.7433,320.4451,16.6833,19.7788,14.7122,122.5657,Alta
82.5183,195.619,51.1988,29.6762,2.8891,190.129,9.5613,4.3509,2.5448,196.3018,Alta
122.9606,149.3858,78.3568,47.9328,6.2744,826.7489,8.3679,59.6434,2.4241,409.9423,Alta
113.7557,82.6171,28.5389,88.594,5.6619,221.7158,5.5558,52.2014,11.5163,149.3256,Baja
138.7213,179.0974,73.8367,35.8117,6.1215,635.836,8.0761,27.956,5.3703,203.0762,Media
97.2215,123.0273,11.9035,62.8511,5.4925,408.4664,3.1099,39.9826,11.0419,477.617,Media
61.9594,156.5432,47.704,50.3081,2.7303,303.3805,19.451,40.2737,3.8001,429.5423,Alta
121.3245,242.7888,79.8279,24.9717,2.4451,675.5216,11.9044,11.6689,7.441,412.7311,Baja
126.0785,147.836,40.486,54.1514,1.3706,511.3021,3.4283,12.0029,4.7141,445.823,Alta
106.1277,222.7663,60.7363,69.1515,8.4907,460.1309,7.7033,28.1748,7.3214,399.8423,Baja
127.0967,112.0519,28.4481,55.9254,6.1648,633.5668,11.3937,54.6944,11.7674,148.2345,Media
99.3796,194.3183,76.7796,81.0474,1.8651,542.1409,11.1248,0.5996,11.6681,306.6245,Alta
102.2733,246.0912,14.7051,40.2256,1.7721,373.1358,1.6746,46.9503,8.2208,277.6976,Baja
92.7541,97.3218,86.7288,26.0374,8.7304,603.1552,19.066,3.4516,13.9972,224.4606,Baja
52.5419,81.4144,27.8377,85.5596,7.4273,702.5487,6.2321,28.6933,4.693,433.6162,Baja
60.7891,153.7091,88.6958,46.4737,6.594,124.0238,1.3075,38.2724,4.3644,285.6557,Media
53.1429,95.7463,41.7276,60.3484,4.0686,519.2846,2.4524,41.2056,9.5933,124.119,Baja
113.641,207.2253,75.0415,75.4402,2.6198,151.915,12.0237,3.5088,9.6982,209.9862,Alta
81.4356,235.4733,38.7303,42.702,9.7945,267.7649,3.6179,25.1162,1.6516,191.4484,Baja
100.8571,153.7836,91.5321,70.1315,7.9724,604.4579,1.7928,35.0302,9.5089,454.9916,Media
140.7566,123.981,21.3973,29.4793,3.0178,879.57,8.2129,3.9627,6.2421,358.9752,Media
74.9292,153.8486,26.0668,40.3906,8.4756,894.5251,12.8325,8.1057,11.4642,324.1505,Media
91.0383,202.9861,54.3727,30.1297,7.5893,162.9496,3.125,39.8189,12.3135,302.6597,Media
125.5551,81.5392,17.3745,76.7861,2.9708,477.1946,6.9532,31.2983,8.7302,360.0452,Baja
72.8798,180.2072,27.6382,35.5854,4.2655,624.7058,8.9375,9.7097,1.0239,401.9502,Alta
57.698,184.2596,94.939,70.2182,1.8595,232.3629,4.0297,32.1144,9.9091,321.7539,Alta
78.9751,188.407,97.8841,86.0309,1.1105,788.889,10.6154,54.7615,11.4843,475.3142,Alta
66.1221,121.1438,43.8633,56.9441,7.2276,769.8117,2.6191,0.9353,4.4858,490.7337,Media
142.9698,201.389,93.0957,57.802,2.6751,913.0069,1.8839,38.558,7.505,498.1369,Media
130.812,95.5366,59.0342,52.2723,8.2006,107.6374,10.8769,4.419,14.5202,367.7564,Baja
113.3404,113.876,34.2768,42.8123,9.9561,295.0158,5.71,0.387,5.1736,473.0482,Media
137.1461,229.1699,73.2159,53.2959,0.7662,844.468,2.8121,9.0393,4.1241,261.7919,Baja
130.3672,205.5829,69.3012,62.1965,4.7304,703.522,9.0543,25.3744,3.952,443.837,Media
68.657,82.3367,99.0213,89.0194,8.0206,904.9509,18.3877,48.1406,8.8232,463.6697,Baja
139.2559,122.224,33.8543,85.6435,7.8895,151.4617,14.7597,16.9071,14.297,461.6562,Media
103.9342,116.4491,70.4854,80.3507,7.6,637.2676,16.4967,37.5404,9.5217,432.3385,Media
130.744,126.0371,14.6821,82.2391,3.4899,612.1419,17.5664,24.6694,5.2465,262.6397,Media
139.6091,122.0852,20.2281,52.7494,4.5385,132.107,19.4799,14.0599,9.94,163.563,Media
81.8003,90.6295,10.3527,66.0211,5.9497,562.1699,15.5017,30.8548,9.7478,233.5825,Baja
61.0052,158.0199,99.9515,82.6547,9.7394,648.5683,12.5598,47.8479,9.357,406.9154,Media
72.7935,204.5647,82.2046,47.5066,3.2755,272.1639,7.9431,49.9495,3.232,193.1542,Alta
92.7108,183.1444,80.8051,87.3234,9.2314,345.9966,4.4512,50.7912,9.8839,291.3088,Media
131.8015,194.3882,55.8753,49.105,2.6936,676.3126,14.0465,20.3135,7.0223,326.1598,Alta
136.0731,93.7954,37.006,62.0758,9.8907,521.4709,19.904,47.6074,1.2603,341.5434,Baja
50.6952,241.7534,23.6138,69.6863,6.7026,872.2123,9.8798,12.7307,8.5567,474.2902,Baja
101.0747,222.5436,35.6207,86.5414,4.6351,408.1436,14.7499,44.3055,14.8497,364.5972,Media
91.7411,216.8654,43.8374,37.1231,6.1339,339.9937,10.4068,56.9031,5.8964,414.5195,Media
72.2108,219.9072,78.0679,72.2292,2.7253,986.3793,9.2067,0.8246,14.5178,332.7513,Baja
61.9865,238.5608,58.5696,56.4571,2.7417,920.0222,8.7958,26.4218,2.3469,433.4321,Baja
83.7615,172.5232,16.9735,38.799,1.1355,126.0935,10.5879,38.8663,11.2543,205.4654,Alta
144.291,114.0479,11.6226,74.3625,1.1405,793.6558,7.971,42.1065,2.6006,183.9511,Media
82.3203,184.8532,19.2099,58.6556,3.4767,199.3013,15.2267,10.5653,4.83,470.528,Alta
101.8791,206.2899,46.9449,66.2682,7.6286,124.7367,17.6112,58.331,8.9918,377.3924,Media
120.3019,205.446,93.9874,42.6031,6.0797,346.326,17.7748,36.9159,9.2989,368.6102,Media
86.363,168.6463,67.3662,53.6892,1.0258,342.4113,5.3263,9.8604,11.853,286.9181,Alta
147.1782,91.638,82.1643,63.2148,8.5224,837.3869,18.0223,1.2314,9.6144,250.6789,Baja
146.2447,143.0892,51.9737,48.3438,6.0137,739.6005,7.4895,46.9959,9.3106,322.2765,Media
75.1782,236.5303,42.5499,33.8861,9.6086,983.4485,6.8768,4.7823,13.7729,148.2265,Baja
99.7249,179.3563,19.756,87.3148,6.7019,740.3616,14.8084,8.4631,7.3303,281.885,Media
80.0878,171.5164,88.834,55.8027,1.7517,476.43,6.7892,34.4898,4.1537,282.1471,Alta
78.484,125.7051,80.4844,71.3744,4.7378,729.0349,2.0064,36.2103,3.265,315.3346,Media
53.6887,142.6363,25.1306,48.7733,6.485,999.5132,8.0987,41.2132,6.5999,353.8742,Media
110.9564,232.2088,56.1035,44.8592,0.2826,739.1277,14.7078,23.6108,10.9785,482.9273,Media
100.2679,193.2987,53.8637,48.5015,0.1491,785.5132,7.2122,46.4339,1.5956,360.8677,Alta
55.1479,213.8558,66.2582,48.6438,1.294,944.5285,12.9616,58.4615,2.8067,453.4901,Media
77.8646,157.2387,95.1568,58.0926,2.5166,202.2861,13.5423,16.2657,2.4856,322.5215,Alta
140.8266,187.142,62.1794,58.0429,4.2955,734.3059,14.941,42.1817,9.1935,350.7712,Media
73.9562,122.2252,58.6196,54.8008,4.8744,865.7254,18.0455,55.7081,4.4001,127.9348,Media
64.4895,199.9283,14.5291,29.435,1.3803,958.9407,9.2187,41.1772,3.3276,153.3055,Media
98.9453,152.6922,15.6617,54.7253,6.7339,289.8724,4.1622,40.8666,9.2988,331.8682,Alta
148.565,155.2327,26.8612,31.8373,5.9614,553.5361,7.0596,13.4264,11.6583,258.2851,Media
74.2055,190.3848,12.9224,28.8295,2.9446,712.4994,9.2112,32.1078,5.6502,419.5242,Alta
117.2136,239.1677,76.9018,85.2852,0.1366,322.721,14.5639,33.7514,9.0949,317.2711,Baja
126.162,90.8811,75.0997,62.3465,0.7765,640.4256,1.2493,42.0078,2.3737,452.9164,Baja
73.7638,220.2064,22.2451,66.1643,3.9169,331.8209,6.9999,59.8093,14.0927,488.9327,Baja
122.8216,129.7051,85.2471,48.1256,1.5397,400.1113,15.817,2.0186,5.7165,159.0541,Alta
86.7783,155.4663,23.9307,83.6287,3.7682,497.3668,13.7463,3.914,14.9651,257.9311,Alta
113.2306,83.7253,37.1058,64.6551,6.2818,576.2711,14.9031,4.677,14.7002,365.9924,Baja
113.353,131.1778,32.4079,73.8419,5.4724,504.4293,16.4244,44.5787,11.9035,222.1955,Alta
103.5775,165.4473,43.5076,45.7994,2.3118,543.876,15.8815,8.1812,1.2809,206.8129,Alta
59.029,89.5499,32.9197,87.2008,3.4382,368.7299,13.9615,37.3471,8.6086,425.4954,Baja
133.5302,163.4863,54.0056,77.4323,6.1403,243.0686,9.3536,19.4801,2.2157,492.1514,Media
82.078,237.6088,46.6667,79.7764,8.6086,142.615,19.6884,27.4392,13.5319,409.5213,Baja
68.6519,97.9168,98.7913,32.0536,7.5321,276.3809,11.8124,12.9398,12.0549,309.4706,Baja
54.0775,209.9549,15.0334,38.9674,5.534,623.7493,4.8526,51.9664,14.6128,277.0045,Baja
109.0893,149.6441,22.7963,39.9939,3.6229,807.5039,6.5634,35.169,9.5174,315.8591,Alta
117.7564,191.3795,14.7543,38.9636,3.6505,252.3228,14.1777,56.6738,8.3104,285.1359,Alta
51.6588,124.2402,66.3257,79.8786,8.7942,197.6998,18.5701,34.4758,8.2656,301.1552,Baja
101.2093,107.1137,14.9058,22.2319,0.3924,774.3613,4.3957,7.4345,6.4103,181.3812,Alta
72.6496,107.2786,85.2796,25.327,9.8798,374.6425,2.5646,10.2522,7.5617,461.4968,Baja
114.5173,91.9836,56.0745,39.174,6.6438,956.3495,17.7491,59.3444,9.8958,401.814,Baja
67.4366,111.5599,57.4307,33.9911,6.8114,742.8862,18.3903,43.5339,14.0613,372.391,Media
119.0938,192.9173,60.5435,36.2302,0.38,394.0804,6.2512,2.9567,9.3424,479.97,Alta
88.6735,229.8874,25.3732,75.856,6.0553,360.5885,8.1684,42.2269,12.9996,213.7577,Baja
143.673,218.4014,27.7921,59.4189,4.8478,571.3285,13.5436,24.7304,13.0789,132.4638,Baja
63.7521,196.4728,38.6936,20.4039,1.0578,171.2302,7.2687,18.4325,8.2637,430.4555,Alta
84.1066,98.7734,63.4147,50.0526,2.7792,205.9089,17.666,9.2436,5.8646,499.3668,Media
61.3474,129.1619,28.9106,48.5519,8.9031,258.2721,3.044,50.3942,9.954,331.373,Baja
142.4694,132.6672,20.4699,27.9762,5.4999,797.2512,1.7217,3.8305,7.2423,123.5238,Media
137.7339,122.4927,97.3105,67.3299,4.1342,562.4716,4.9612,17.3901,2.1402,412.1872,Alta
75.7942,167.551,11.9784,69.1468,0.7268,109.5104,6.4357,18.383,6.2893,129.4996,Alta
115.9984,171.0441,82.2428,70.4625,7.1412,706.1649,3.1456,9.6543,14.917,316.0056,Alta
131.7222,140.6706,80.9232,70.993,7.0285,481.3212,2.2481,30.4911,1.6792,211.013,Media
105.5201,140.1442,36.7493,20.0037,6.1404,559.7671,15.3565,0.7022,10.7533,466.0107,Media
102.9651,220.8545,22.2064,86.7745,5.1026,292.7046,4.1213,18.0585,12.7766,280.5325,Media
74.1852,214.1798,23.1066,76.9946,4.3378,596.604,18.3645,56.0178,10.0822,459.3853,Media
59.3103,132.3253,72.7688,83.2787,5.9327,981.2379,7.992,18.6318,8.9765,219.6324,Alta
139.7216,235.344,67.8526,21.095,2.334,166.1002,13.7415,21.6276,10.9058,254.945,Baja
140.0418,241.9786,80.4471,85.3701,9.4126,355.5257,5.2826,28.3899,7.0108,478.8477,Baja
113.3101,135.5462,94.3733,76.6852,5.8879,318.6978,5.5661,33.7016,2.2791,180.5258,Alta
83.903,140.2522,72.2735,78.6053,3.1119,323.6944,11.9195,48.5225,14.4732,331.4005,Alta
84.921,165.9578,24.0266,26.5301,4.4968,440.8357,11.6522,11.4193,7.0522,255.4041,Alta
122.5956,239.9905,31.9098,71.7145,8.0568,836.2988,15.6059,52.3048,10.3154,409.6668,Baja
139.711,228.9743,85.7974,87.1942,1.6162,921.5728,15.3985,45.453,8.4383,151.7185,Baja
138.7086,97.4366,28.8375,67.4983,2.9284,281.9936,13.7431,43.359,1.7654,274.886,Media
127.9876,146.7642,16.527,59.9393,6.7951,588.6549,9.5335,5.2083,14.3385,379.5731,Alta
114.2032,174.0731,73.2952,86.1941,3.1549,673.2091,17.9222,1.2984,12.0955,262.8065,Alta
58.414,165.5325,46.2274,51.0056,7.925,569.6447,12.829,35.6408,3.0874,123.4127,Alta
66.1629,112.9567,92.8036,61.9505,1.3045,490.6688,19.8138,51.788,14.7431,382.0449,Alta
139.8554,225.9989,68.523,53.3437,7.6269,272.778,16.568,35.0665,11.3166,301.2793,Baja
110.6429,195.0799,18.1377,85.2992,0.6835,539.3974,1.8419,12.7941,7.6125,104.5235,Alta
50.9197,222.4444,95.3071,25.3259,0.1259,461.0933,7.0913,5.4312,9.5592,345.0624,Media
60.1472,225.9899,33.2702,55.0784,8.9822,816.007,11.8656,41.9758,2.4943,467.9524,Baja
116.3502,207.2205,40.3491,68.0867,5.8134,787.2439,14.7079,43.3062,8.8458,144.4104,Media
50.5062,154.6658,46.2034,75.4335,3.5183,220.5988,11.4564,10.3519,2.0313,336.2685,Media
66.0808,183.7929,14.6102,60.8113,2.3259,179.6671,15.9365,1.6914,8.628,391.4676,Alta
104.8734,107.2621,54.6864,83.6242,6.1689,917.3385,6.3705,24.497,8.7377,128.3095,Media
119.1895,194.5197,21.0987,85.9394,5.09,581.9576,4.4943,34.9631,13.2421,109.0462,Alta
115.1961,110.4731,46.0873,24.5023,9.916,872.0208,2.0244,42.3601,11.1508,285.6783,Baja
72.4269,197.9714,41.5639,48.1659,9.8322,152.336,11.893,48.5967,4.4937,416.4747,Media
121.2179,119.0317,79.5556,21.6421,6.3502,573.8641,14.0834,36.6322,13.438,164.2878,Media
73.7249,99.9837,82.2853,43.0592,4.4287,585.4839,7.1968,6.6528,9.0254,434.6549,Media
82.54,108.0984,23.8072,57.5808,4.9114,874.6318,12.6581,40.9549,9.4893,362.6309,Media
124.6491,80.3387,42.9896,83.7556,6.8248,187.849,1.991,59.0506,3.3657,232.8693,Baja
114.9633,202.1857,43.6018,79.2588,1.0157,316.401,2.8866,54.3351,13.0088,306.3303,Alta
134.9223,204.5082,23.6269,28.925,3.2835,465.8845,14.3333,52.3001,14.0335,486.23,Media
115.7613,167.5387,81.8608,26.5121,0.7527,879.2573,7.9933,18.1302,11.8499,186.5748,Alta
106.8309,107.4317,73.6505,61.2487,0.7336,944.995,13.7553,45.0473,14.1705,299.8142,Alta
59.3675,94.2042,27.1344,57.2483,1.9584,993.4522,16.8027,51.0662,5.2322,349.7946,Media
86.7716,83.2519,43.005,38.6464,4.8525,963.2741,17.1998,40.6996,13.0557,155.2058,Baja
76.5202,108.1772,19.5225,82.9617,7.8477,105.3476,4.2712,15.0337,7.8445,117.4088,Baja
74.399,231.4454,66.5386,84.9156,4.855,142.9375,10.2394,57.23,3.2948,105.384,Baja
147.3011,121.0613,20.9235,48.1828,3.3548,232.8461,14.9446,27.0492,10.3632,229.8771,Media
89.3098,140.2261,98.7341,82.3212,0.8235,413.9759,15.7056,7.7883,10.5777,129.5789,Alta
139.2047,97.9087,80.2614,46.8764,5.503,846.9262,15.9088,6.5867,5.0169,421.508,Baja
113.1139,117.8014,45.1215,71.5772,2.7127,903.3906,5.3352,38.8511,1.3849,498.9278,Alta
129.4811,168.2682,62.0708,53.316,6.1493,268.151,4.6582,26.2626,3.7979,124.5215,Alta
100.2637,183.318,92.0208,28.5808,9.7719,657.6977,12.2102,5.669,6.5969,273.0905,Alta
107.6904,121.7099,59.8689,84.9554,1.1131,925.6258,15.0806,44.4219,3.3459,110.2928,Alta
99.2518,89.8145,25.7049,51.7868,2.1213,517.3586,7.0637,47.9595,3.7164,153.5964,Baja
69.5243,146.4756,44.0833,71.4141,4.7309,193.1892,2.9894,43.5249,6.4795,229.169,Alta
122.2452,119.8146,85.883,45.7022,9.6861,512.0323,14.6182,12.1357,14.465,257.4793,Media
78.0772,117.3242,67.9792,21.3217,7.7181,438.2154,6.6943,41.3865,11.6994,475.9132,Baja
52.4316,243.1767,68.5652,27.0371,8.9823,619.8922,4.1609,0.6434,5.4765,258.3347,Baja
114.5472,184.7711,88.0139,54.7354,3.3371,494.7928,3.8067,18.3067,14.3225,298.5111,Alta
67.7111,174.6693,90.4576,68.2975,9.9204,115.6113,6.9833,23.9293,10.0391,198.2333,Media
144.0459,150.6818,92.7813,43.4315,1.0283,994.598,12.2609,50.1148,7.3763,100.0501,Alta
145.3929,152.9205,18.5364,68.6842,0.5297,589.1862,7.8096,23.4237,7.5562,459.7338,Alta
141.4864,171.9539,58.9713,68.9045,8.556,526.2677,1.3926,0.6762,6.7504,132.6859,Media
87.0159,198.3931,76.6459,69.2755,9.2726,959.1556,2.8413,21.1408,4.2619,485.6995,Media
51.5457,199.3648,78.1234,54.4765,0.9059,240.2743,6.5196,29.9354,6.4129,152.3376,Media
142.8319,109.188,64.6045,84.042,1.1343,270.3138,13.5344,56.9403,8.3905,341.9514,Media
92.8184,165.0192,25.0109,54.2438,0.3317,827.2133,2.8718,56.4621,8.3924,499.7642,Alta
146.6655,150.0329,81.7678,51.5186,1.0451,334.748,11.6525,10.8524,11.6643,155.3858,Alta
146.362,227.9896,74.81,33.9567,2.0942,819.3044,3.2778,11.1088,6.0232,269.5772,Baja
135.3009,187.3412,17.7522,41.5359,9.7008,344.3801,5.0207,9.8029,11.0352,412.1695,Media
79.4449,170.5257,51.7429,22.9634,6.6786,129.8689,4.2716,47.3353,9.0933,112.8761,Alta
88.5098,99.6171,25.658,64.3475,7.7855,565.3133,2.2773,0.3613,14.4658,375.9131,Baja
135.1137,182.9584,40.3729,37.3975,7.7614,277.0178,13.7553,7.6306,6.394,132.1493,Alta
81.6922,99.9247,11.6273,41.2909,5.3507,782.0617,9.8047,32.2776,13.617,194.6081,Media
66.9493,137.3251,46.0297,73.957,7.9749,677.0797,16.79,14.8537,12.489,164.0305,Media
105.6801,104.2831,59.4889,42.9055,5.9581,931.2424,2.8789,5.5414,9.9273,462.9346,Media
143.6155,197.6525,65.7624,36.9537,3.1455,804.6895,3.7499,21.5927,10.1632,172.1827,Alta
119.603,115.0629,69.7141,31.834,5.6111,262.6984,6.8227,16.4525,2.1851,116.1736,Media
107.0061,146.6161,85.2662,74.2401,5.3351,820.1424,15.5515,30.6663,14.3031,335.0503,Alta
59.7176,232.2647,29.3917,29.0794,8.2345,677.5633,6.8094,58.754,2.4971,238.4724,Baja
111.5007,114.7338,20.8434,51.7628,9.8173,702.0565,8.76,7.4583,8.8853,262.2825,Baja
149.0054,166.3269,86.6383,55.4851,4.1104,849.0366,6.7305,22.3636,5.621,147.6251,Alta
64.0084,151.2762,24.0952,68.1173,7.6339,616.4417,2.5243,55.9191,7.0179,399.2938,Media
