"","tiempo_respuesta","satisfaccion_cliente","numero_quejas","capacitacion_empleado","experiencia_empleado","disponibilidad_servicio","tiempo_respuesta_2","satisfaccion_2","indice_servicio","eficiencia_operativa","clima","dia_semana","calidad_servicio"
"50",10.85,8.83,6.87,6.85,7.16,9.25,10.67,8.21,9.63,-1.96,22.32,6,106.06
"51",7.66,7.62,5.55,7.03,4.65,8.98,6.91,6.53,8.1,-1.06,31.95,4,105.94
"52",9.59,6.71,0.49,5.99,4.48,10.4,9.57,6.12,8.97,-1.95,23.28,7,98.04
"53",8.14,7.47,1.47,8.62,7.74,9.68,8.43,6.87,8.62,0.63,23.09,7,122.63
"54",10.9,7.05,3.31,5.44,8.57,9.2,10.84,6.4,7.97,0.07,26.07,5,107.82
"55",8.71,6.59,4.95,7.97,5.7,9.31,8.73,5.71,7.52,-0.83,20.61,1,100.54
"56",9.54,6.08,1.54,5.09,7.19,8.81,9.61,5.29,7.42,0.49,22.13,4,101.95
"57",7.53,6.55,5.35,6.58,4.6,8.12,7.37,5.77,7.49,-0.74,24.56,3,93.33
"58",8.08,5.53,5.33,7.6,6.63,9.18,9.13,4.42,7.7,-0.08,24.27,3,101.7
"59",10.27,5.32,6.74,6.12,8.35,9.44,10.92,4.71,7.72,-0.22,24.38,1,102.71
"60",8,5.34,6.13,8.56,8.16,8.5,8.58,5.1,6.54,0.51,25.88,4,104.81
"61",9.72,6.16,5.75,3.26,8.18,8.18,9.36,5.2,7.61,-0.52,24.57,2,92.18
"62",10.33,6.88,5.63,4.17,8.27,9.34,10.41,6.36,7.9,-0.15,20.94,5,101.77
"63",9.6,5.96,8.05,6.54,9.19,9.41,9.98,5.48,7.79,-0.15,19.8,3,103.11
"64",9.42,7.97,6.01,5.34,8.63,7.23,10.27,7.46,7.11,0.06,31.4,4,98.78
"65",6.53,6.41,5.87,3.27,5.52,8.1,6.7,5.73,8.03,0.18,22.96,5,93.81
"66",9.45,6.23,1.37,6.25,3.93,9,9.95,5.73,7.45,-2.87,28.43,6,95.57
"67",6.4,7.13,6.32,6.82,9.61,9.05,6.87,7.07,8.81,2.66,22.75,7,118.84
"68",12.31,6.92,4.24,4.71,9.06,9.02,12.62,6.32,8.23,-1.71,21.57,7,98.84
"69",7.99,5.91,3.88,7.53,10.68,9.35,8.05,4.88,6.46,2.68,30.86,1,122.32
"70",10.3,8.13,3.17,7.1,6.7,9.35,10.51,7.4,8.77,-1.09,26.1,7,110.95
"71",11.04,7.05,5.61,9.69,8.81,9.8,11.37,6.43,8.46,-0.05,19.18,3,109.51
"72",10.01,8.07,8.63,6.16,7.74,9.35,9.92,7.36,9.36,-0.23,25.68,5,101.14
"73",12.69,7.57,6.77,5.87,6,9.3,12.1,7.49,8.32,-3.05,26.93,4,89.36
"74",8.31,7.83,4.66,5.34,8.34,10.54,8.17,7.26,9.21,0.46,23.09,1,118.11
"75",10.89,5.9,6.4,5.92,13.19,9.72,10.83,5.33,7.68,2.44,29.43,6,117.39
"76",8.05,6.28,5.6,7.74,10.13,9.71,7.66,6.27,8.28,1.64,21.25,4,119.6
"77",14.25,6.71,5.7,5.79,9.07,10.05,13.69,5.84,7.99,-1.39,27.29,4,101.12
"78",11.38,5.51,2.43,5.17,6.01,9.59,10.96,5.26,8.17,-2.19,16.71,3,90.83
"79",9.31,7.48,4.41,6.47,10.39,8.71,9.23,6.73,7.98,1.74,25.9,7,114.74
"80",11.57,7.33,6.99,6.43,8.93,9.66,10.85,6.39,10.26,-1.03,23.55,6,100.48
"81",7.69,7.01,9.1,5.88,7.26,8.32,7.83,6.57,7.5,0.9,29.9,3,95.32
"82",13.02,5.43,3.15,4.66,8.24,10.67,12.99,4.77,8.16,-1.15,27.22,5,98.91
"83",7.69,6.51,5.37,5.76,6.21,9.24,8.24,5.55,7.98,-0.01,17.29,1,104.43
"84",6.89,7.58,4.9,5.24,10.23,8.54,6.38,6.67,7.53,2.38,15.72,6,112.49
"85",9.89,6.39,7.72,4.36,10.38,9.76,9.85,5.48,7.35,1.3,30.75,2,104.56
"86",11.7,6.91,4.66,6.32,8.79,8.51,11.83,5.71,8.25,0.3,20.03,7,100.27
"87",9.98,7.13,3.98,8.55,8.85,10.61,10.27,6.19,9.55,1.58,20.47,3,117.85
"88",8.48,8.16,4.26,6.73,12.5,9.27,8.89,7.28,8.42,2.64,31.23,1,128.44
"89",12.35,7.02,0.02,7.96,6.86,8.39,12.67,6.45,6.86,-2.16,27.49,2,100.17
"90",14.83,6.62,7.62,4.22,8.54,9.29,14.4,5.83,7.77,-2.48,25.94,6,82.66
"91",6.08,7.38,7.79,6.08,6.24,9.61,6.37,6.5,7.83,0.64,30.43,2,110.95
"92",12.95,6.07,3.38,7.42,8.37,8.96,12.63,5.26,7.89,-1.12,28.37,4,99.37
"93",9.05,4.34,7.02,5.3,5.37,8.16,9.48,4.77,6.36,-1.88,28.68,2,86.58
"94",11.96,6.93,6.83,5.81,5.88,8.61,12.29,5.92,8.09,-2.33,31.69,1,87.73
"95",6.35,6.18,1.88,6.65,8.1,7.39,6.42,5.88,6.88,1.63,28.96,3,108.13
"96",9.48,6.21,0.85,3.62,5.76,9,9.3,5.2,8.21,-0.56,23.9,6,101.62
"97",8.08,8.4,6.06,2.77,8.19,6.97,7.69,7.37,7,0.94,22.73,1,102.24
"98",9.02,7.56,2.06,5.82,9.73,10.24,9.12,7.12,9.36,1.33,23.34,3,122.92
"99",7.85,7.88,6.06,3.81,6.45,7.39,8.77,6.93,7.57,-0.1,30.08,5,99.71
"100",10.74,8.58,3.18,5.99,9.01,8.17,11.03,7.4,8.2,0.81,37.38,5,108.49
"101",12.43,5.99,2.44,8.32,6.25,8.22,12.47,5.18,7.07,-2.22,20.01,7,102.41
"102",9.01,6.96,7.67,7.41,6.61,8.18,8.34,6.55,7.49,-0.61,24.17,5,94.15
"103",9.54,8.04,5.51,7.02,8.06,11.89,9.54,7.5,10.58,-0.05,25.24,3,120.38
"104",7.78,7.33,4.13,8.19,9.66,8.79,7.42,6.36,8.61,1.2,27.51,5,125.39
"105",11.99,6.5,3.97,5.43,7.81,9.98,11.93,6.33,7.76,-1.84,17.21,7,103.6
"106",11.12,6.93,5.64,5.49,7.86,9.06,11.12,6.74,7.89,-1.1,26.24,1,94.49
"107",6.87,5.78,6.14,5.93,11.58,7.71,7.13,5.09,6.92,4.34,25.11,4,114.16
"108",12.96,7.93,6.76,7.14,7.93,9.63,12.09,7.54,8.89,-1.97,18.26,6,96.15
"109",7.66,7.82,6,8.32,7.96,8.36,8.19,6.58,7.91,0.3,24.98,5,115.05
"110",7.9,6.29,1.95,5.64,6.52,8.02,7.96,6.03,8.08,0.74,30.72,7,106.11
"111",7.06,8.46,1.96,11.49,6.3,7.5,7.06,7.59,7.49,-0.76,26.36,2,118.91
"112",7.61,8.3,3.38,9.53,7.17,9.3,7.73,7.93,8.18,0.38,26.13,2,124.81
"113",9.3,5.52,8.19,5.28,9.22,8.81,7.76,5.23,6.86,0.76,21.73,5,101.49
"114",11.07,8.73,6.2,5.44,7.74,8.08,10.99,7.86,7.83,-0.97,14.68,6,94.59
"115",8.58,6.74,7.09,6.08,9.85,8.8,8.39,6.09,7.07,1.15,21.82,7,112.06
"116",9.6,8.38,5.06,5.43,6.17,10.51,9.43,7.43,9.74,-1.14,24.52,5,112.24
"117",9.44,5.27,6.88,4.64,7.52,9.73,9.79,4.62,8.32,-1.02,11.7,3,84.63
"118",12.34,7.01,2.93,8.41,7.72,10.2,12.39,6.19,8.05,-1.6,25.46,3,109.65
"119",14.58,7.13,5.22,6.56,8.09,10.3,13.9,6.39,8.82,-2.62,28.96,5,99.21
"120",7.86,6.64,7.71,6.78,9.4,7.32,7.47,5.95,6.84,1.81,27.53,6,108.18
"121",13.81,7.47,2.59,4.02,9.16,8.76,14.25,6.15,7.94,-0.65,21.27,3,99.96
"122",14.26,6.09,8.18,3.95,7.71,8.1,14.15,5.29,6.69,-1.82,35.46,5,80.38
"123",10.46,6.68,5.56,6.5,6.28,10.04,10.24,6.5,7.91,-1.08,28.99,6,106.5
"124",11.79,5.96,6.86,7.31,3.7,8.01,11.74,5.51,7.76,-4.17,29.79,4,70.05
"125",6.52,7.15,4.5,7.74,7.8,9.43,6.28,6.51,7.5,0.76,22.47,6,119.56
"126",10.94,6.8,6.2,5.61,9.83,8.56,10.78,5.57,7.1,0.76,25.87,3,108.7
"127",8.91,6.94,5.56,5.95,9.08,9.91,9.2,6.54,9.8,0.91,35.93,1,118.82
"128",9.67,7.7,3.53,4.09,9.91,8.48,9.79,6.55,9.04,1.5,22.47,2,106.54
"129",11.1,6.51,3.65,4.11,5.62,8.37,11.05,5.73,7.79,-2.39,20.59,7,94.69
"130",12.07,6.69,5.19,4.27,7.14,10.09,12,5.76,7.6,-2.13,28.87,1,93.71
"131",9.91,6.97,6.27,5.88,8.37,9.05,9.55,6.48,8.1,0.6,19.47,3,104.39
"132",15.28,6.76,7.12,7.71,7.03,8.31,15.08,5.87,7.22,-3.79,22.47,2,88.81
"133",11.18,7.87,5.1,8.2,8.69,9.84,11.68,7.01,8.87,-0.07,21.63,2,112.04
"134",9.6,7.97,4.75,6.63,9.54,8.52,9.65,7.41,8.31,0.58,24.23,1,117.64
"135",10.88,8.95,4.9,8.16,8.08,9.57,10.34,7.85,10.12,-0.85,21.25,1,118.58
"136",9.8,6.68,5.24,6.22,3.67,8.7,10.2,6.18,7.05,-3.47,19.15,2,87.76
"137",7.81,8.71,5.1,2.67,7.54,9.57,8.29,8.1,10.47,-0.04,26.18,7,112.68
"138",11.01,7.17,5.37,8.17,10.23,9.02,11.09,5.91,7.92,0.7,23.26,1,112.6
"139",11.9,5.01,5.41,5.6,7.9,10.06,11.89,4.28,7.14,-1.58,19.69,7,90.28
"140",10.77,5.55,4.86,5.27,7.29,8.73,10.61,5.01,6.85,0.08,22.67,2,89.12
"141",10.74,5.81,2.51,3.7,7.25,9.33,10.8,5.51,8.45,-0.57,26.57,4,100.64
"142",10.31,5.84,5.06,7.18,9.18,8.14,10.11,5.02,7.36,0.15,22.75,3,100.11
"143",11.7,7.22,5.48,7.71,8.24,10.35,11.9,6.91,10.38,-1.53,22.85,5,111.94
"144",7.43,8.64,8.32,6.13,10.32,8.03,7.69,7.46,8.44,2.85,26.24,7,106.05
"145",12.32,7.26,4.86,6.15,10.06,10.49,12.29,6.74,8.85,-0.13,23.08,3,111.4
"146",8.18,6.64,3.36,9.72,8.15,8,8.16,6.53,7.43,0.25,19.25,7,119
"147",10.67,6.25,0.41,2.53,2.67,8.75,10.1,5.25,7.63,-3.11,20.21,6,83.63
"148",11.55,8.43,4.97,2.1,13.64,8.04,11.89,7.6,7.38,2.28,18.44,1,103.89
"149",10.47,6.43,0.22,6.09,12.56,10.24,10.1,6.1,8.93,2.62,27.75,5,126.9
"150",6.88,7.8,3.04,5.6,6.76,9.3,7.07,6.46,9.04,0.82,31.23,6,116.09
"151",10.05,5.77,1.05,5.63,8.44,7.1,9.93,5.36,5.94,0.17,20.99,5,99.07
"152",10.67,6.44,4.37,6.1,7.67,10.05,10.54,5.75,7.89,-0.39,29.34,6,105.83
"153",11.98,5.55,6.83,6.93,12.89,7.49,12.38,5.06,7.16,1.52,26.26,5,99.62
"154",11,6.41,6.6,4.03,4.24,7.76,11.17,5.31,6.21,-2.48,29.39,1,82.89
"155",11.15,8.14,3.05,8.32,5.33,11.04,11.05,7.31,10.3,-1.89,15.54,5,106.69
"156",12.29,6.64,5.62,7.24,9.43,8.89,12.63,6.15,7.11,0.63,19.05,4,111.59
"157",8.59,7.65,3.58,4.25,7.59,8.51,8.2,7.15,8.44,-0.45,34.5,7,109.75
"158",8.76,5.24,6.38,3.7,8.72,9.65,8.75,4.29,6.8,1.3,21.3,6,91.94
"159",9.98,6.67,4.05,5.91,9.68,6.13,9.68,6.15,6.03,1.19,19.64,4,102.49
"160",10.68,6.94,6.17,4.86,8.07,9.65,11.13,5.98,8.75,0.03,33.21,6,105.82
"161",12.81,6.32,3.21,4.82,10.39,8.45,12.1,5.56,7.24,0.23,16.57,2,94.82
"162",8.27,7.55,5.3,3.89,7.93,9.08,7.88,7.56,8.7,1.1,18.56,7,104.02
"163",8.25,5.91,3.29,7.01,6.64,9.6,8.54,5.41,7.01,-0.11,17.33,6,112.39
"164",11.55,7.33,4.09,5.13,10.32,9.58,11.72,6.43,8.37,0.13,18.99,2,108.84
"165",9.2,7.25,6.84,5.77,4.56,7.59,9.83,6.57,8.23,-1.52,29.34,3,90.76
"166",9.57,7.68,7.94,3.92,7.96,10.37,9.81,6.64,9.01,0.05,25.49,2,102.46
"167",11.21,8.07,5.17,6.95,2.61,8.88,11.31,7.05,8.72,-3.92,28.1,4,86.73
"168",8.77,7.96,6.22,5.3,7.02,10.07,8.74,7.4,9.11,-0.32,21.25,7,109.57
"169",8.55,8.22,6.54,5.19,6.22,10.52,8.5,7.3,9.4,-0.84,22.82,4,107.52
"170",9.49,7.29,3.56,4.87,9.62,8.96,9.74,6.53,8.58,0.33,28.67,2,118.68
"171",9.22,5.88,2.38,5.54,9.38,9.05,9.6,5.43,7.04,1.08,28.21,7,112.9
"172",8.63,7.99,5.81,3.23,6.24,9.41,8.5,7.1,9.3,-1.12,25.84,6,99.3
"173",11.75,8.71,5.14,6.52,8.94,9.73,12.16,7.83,8.74,-0.38,15.61,5,109.6
"174",9.04,7.41,5.2,8.26,3.46,9.55,9.44,6.43,8.02,-1.66,27.8,6,105.41
"175",10.14,6.33,4.4,3.94,7.99,9.74,10.56,5.8,8.4,-0.59,21.78,6,104.15
"176",10.27,7.26,2.07,6.07,5.7,8.61,10.2,6.37,8.35,-1.75,23.13,1,97.49
"177",6.28,6.5,7.91,6.88,7.36,8.96,5.97,6.24,7.44,1.88,21.31,1,108.24
"178",10.69,7.18,4.38,4.34,7.12,9.95,10.89,6.54,8.3,-1.03,28.38,7,102.56
"179",13,7.24,6.87,5.08,11.05,9.68,13.7,6.42,7.95,-0.3,23.63,4,108.35
"180",9.97,4.99,3.55,8.53,6.38,7.65,10.26,4.5,6.46,-0.94,27.06,5,98.11
"181",8.45,8.69,6.15,5.18,5.88,10.18,8.75,7.93,9.74,-1.11,29.26,3,109.18
"182",12.62,7.63,4.49,6.9,8.16,9.54,12.62,6.73,8.06,-1.71,25.4,3,97.87
"183",10.52,7.61,6.38,6.41,8.6,8.71,10.42,7.14,8.42,0.35,27.52,7,105.46
"184",12.03,6.5,6.57,4.82,5.07,9.31,11.96,5.55,8.25,-3.14,19.02,5,90.14
"185",10.43,6.14,5.72,6.59,10.83,8.99,10.59,5.64,7.77,1.53,23.37,5,107.37
"186",11.23,8.1,4.03,7.66,5.11,8.8,11.85,7.63,9.5,-2.47,22.78,2,96.18
"187",12.89,5.52,4.28,7.03,8.19,8.44,13.79,4.94,6.76,-1.05,26.58,2,97.28
"188",11.32,8.17,4.28,4.71,10.55,8.79,11.34,7.49,8.03,-0.19,23.88,5,116.24
"189",10.75,5.07,4.1,5.43,6.76,8.71,11,5,5.91,-1.23,24.71,6,87.8
"190",8.65,7.47,4.75,4.27,10.62,8.5,8.92,6.45,8.63,2.35,28.79,5,109.13
"191",11.16,5.95,4.85,5.73,8.98,9.65,11.31,5.57,7.13,-0.63,25.19,6,101.79
"192",9.17,6.09,6.29,4.83,4.92,8.48,9.19,5.95,7.08,-1.98,32.47,1,92.74
"193",14.36,6.13,5.41,6.81,7.01,11.27,14.71,5.68,9.54,-2.5,21.66,5,93.73
"194",10.69,7.22,3.79,4.75,8.55,8.32,11.26,7.02,7.43,0.34,29.8,1,104.8
"195",8.4,8.35,6.05,6.16,8.25,9.18,8.99,7.53,9.33,1.21,17.75,4,116.64
"196",13.28,7.24,6.01,5.71,8.03,8.93,12.79,6.39,7.48,-2.12,26.48,5,94.29
"197",9.08,8.16,4.34,4.64,9.63,9.93,8.02,6.76,9.33,0.17,32.01,5,118.63
"198",6.83,7.49,5.67,4.63,7.13,7.17,6.89,6.64,7.24,0.34,25.45,6,104.17
"199",7.91,4.53,5.03,7.83,7.52,9.73,7.86,4.02,6.58,-0.3,21.17,6,106.16
"200",10.08,7.2,4.58,6.68,8.72,8.64,9.74,5.9,8.41,0.1,31.14,3,105.8
"201",9.14,6.31,4.15,4.04,4.73,8.2,8.43,5.73,7.28,-1.87,21.95,2,99.9
"202",10.92,8.1,3.02,5.49,9.43,9.68,10.31,7.67,9.13,0.7,22.5,4,116.86
"203",9.54,5.73,4.25,4.44,4.28,9.56,9.34,5.12,7.47,-2.57,25.7,3,89.09
"204",6.29,6.23,3.8,4.19,11.07,9.89,6.47,5.85,8.59,3.66,27.22,5,118.88
"205",9.42,6.83,3.47,4.16,8.11,8.7,9.52,6.41,7.97,0.2,33.77,2,103.99
"206",13.53,7.97,4.98,8.31,6.38,8.27,13.7,7.3,7.57,-2.35,21.28,3,95.3
"207",9.11,6.74,5.05,6.7,10.25,9.57,9.45,5.92,8.48,2.07,19.83,2,113.68
"208",8.82,8.06,6.55,4.01,5.69,8.18,9.42,7.57,7.86,-1.44,28.43,2,92.73
"209",9.76,7.77,5.24,7.4,9.88,9.96,9.86,6.87,8.75,1.54,32.8,5,118.64
"210",13.31,7.65,6.45,5.32,8.15,9.11,13.81,6.77,8.93,-1.43,19.38,1,94.71
"211",8.26,4.6,3.99,8.63,11.36,7.96,8.76,4.24,6.72,1.93,32.2,7,111.68
"212",11.56,6.78,1.35,6.59,7.07,8.86,12.13,6.62,8.34,-1.48,22.24,2,104.31
"213",8.77,7.07,6.68,7.71,9.35,9.82,8.71,6.45,8.54,0.17,23.8,2,113.04
"214",9.34,8.17,1.34,6.38,6.21,9.48,9.37,6.92,8.98,-0.74,30.53,2,107.52
"215",9.29,7.18,7,5.43,6.08,8.62,9.03,6.46,8.13,-0.53,34,4,97.13
"216",11.56,7.38,4.29,5.56,10.89,9.13,11.9,6.96,7.89,0.7,25.89,5,115.6
"217",11.22,7.8,7.42,7.79,8.08,9.28,11.81,7.55,8.03,-0.57,15.76,5,102.75
"218",12.15,7.43,6.2,3.47,6.62,8.67,12.57,6.75,8.61,-2.48,28.22,4,86.13
"219",12.13,6.08,2.98,4.37,9.64,9.23,12.19,5.39,7.62,0.16,23.4,5,107.21
"220",14.32,5.36,4.92,4.49,8.18,10.18,14.55,5.01,7.24,-2.61,18.35,5,84.28
"221",10.14,6.24,3.25,5.47,7.65,9.14,9.42,5.17,6.83,-0.24,30.23,6,105.85
"222",4.93,5.25,0.03,7.63,6.16,9.4,4.67,3.78,7.17,1.61,22.28,4,121.19
"223",8.92,5.55,7.31,8.12,10.29,9.67,9.02,5.32,7.28,1.92,34.32,4,113.44
"224",8.45,7.12,4.76,5.27,8.43,7.51,8.18,6.42,6.91,0.97,14.72,5,103.18
"225",9.41,7.08,5.44,6.45,7.75,9.35,9.74,6.75,8.08,0.23,33.99,3,105.56
"226",12.3,5.98,1.82,4.98,4.93,10.33,12.33,5.3,7.81,-2.58,25.49,5,94.87
"227",8.86,7.32,5.76,7.6,9.28,9.9,8.86,6.21,8.89,0.99,29.02,4,117.28
"228",8.39,6.3,3.48,7.23,11.7,9.01,8.59,5.87,7.44,2.38,24.71,4,123.4
"229",10.99,7.85,4.73,8.5,8.16,8.16,10.44,7.32,8.19,-0.11,22.22,5,108.58
"230",11.4,5.97,2.64,3.88,9.48,8.99,11.93,5.51,7.29,-1.1,34.17,6,97.7
"231",9.51,7.51,5.53,3.76,7.25,8.16,9.52,6.97,8.1,-1.09,12.6,1,106.5
"232",10.82,6.09,4.89,6.06,7.39,9.05,10.4,5.44,7.09,-0.21,19.43,7,102.73
"233",11,6.77,5.21,5.67,7.93,8.8,10.73,6.02,8.15,-0.89,20.33,7,101.62
"234",10.74,5.47,10.56,6.85,9.09,8.65,10.92,4.63,7.58,0.26,24.15,6,91.03
"235",8.86,6.15,5.25,6.2,11.23,9.63,9.32,5.73,8.06,2.22,28.78,7,117.73
"236",11.48,8.66,3.87,4.74,9.4,8.69,11.12,8.05,8.03,0.7,29.19,2,110.01
"237",5.46,6.5,4.98,7.66,8.24,10.02,5.66,5.76,8.81,2.17,19.81,4,122.6
"238",11.23,6.01,1.93,4.64,7.64,8.5,11.1,5,7.77,-1.03,26.02,5,101.85
"239",10.81,6.7,5.08,6.38,9.92,8.81,10.86,6.14,7.84,0.03,29.28,2,104.65
"240",14.1,8.23,3.35,6.59,8.91,9.47,13.81,7.68,9.22,-2.29,28.96,3,107.15
"241",10.53,7.56,4.69,4.87,6.33,8.84,10.38,6.91,8.64,-1.09,28.03,3,93.19
"242",10.22,6.86,6.96,5.47,9.5,8.9,10.3,5.85,8.14,0.88,20.16,4,105.57
"243",12.39,9.2,4.61,6.99,5.9,8.44,12.18,8.1,8.16,-2.73,14.64,3,98.2
"244",11.47,7.07,5.72,7.62,5.01,10.5,11.27,6.72,9.84,-3.42,28.76,4,91.86
"245",9.99,7.73,5.32,7.22,8.39,8.67,9.69,6.53,8.87,-0.75,20.81,3,102.27
"246",9.96,5.88,9.42,3.31,14.97,7.69,10.41,5.84,7.25,4.01,31.79,6,103.03
"247",10.28,7.96,7.66,7.41,9.77,9.4,9.76,7.33,8.91,1.02,34.04,3,108.34
"248",7.86,7.04,5.73,6.64,5.69,8.88,7.12,6.06,7.78,-0.76,25.48,3,101.15
"249",12.47,6.98,2.52,1.61,5.9,8.73,12.42,6.77,8.69,-3.12,25.73,1,86.96
"250",8.92,8.49,8.88,5.83,9.28,9.89,8.48,7.59,9.15,1.05,19.16,6,109.53
"251",9.41,7.4,7.21,6.85,6.2,9.54,9.32,6.49,8.16,-1.34,31.69,2,94.92
"252",11.38,8.09,4.85,7.54,9.09,7.4,11.55,7.55,8.36,-0.09,24.31,5,116.99
"253",9.2,7.42,4.57,6.1,8.67,9.32,9.79,6.82,9.12,0.82,24.43,5,107.5
"254",9.79,6.33,3.14,6.22,7.27,10.24,9.29,5.74,9.4,-0.44,30.07,1,103.39
"255",13.06,5.58,5.24,7.34,5.37,10.66,13.14,5.14,8.88,-3.54,27.77,3,90.63
"256",8.73,7.27,7.49,4.79,11.02,7.33,8.09,6.53,7.42,1.88,26.48,3,101.65
"257",9.55,6.32,3.26,4.63,4.75,7.37,9.16,5.64,6.9,-1.64,28.92,3,88.81
"258",13,7.3,4.34,7.37,7.08,8.88,13.5,6.62,7.8,-2.28,30.55,5,95.6
