fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,indice_alcohol_acidez,balance_azucar_acidez,indice_mineralidad,potencial_alcoholico,relacion_SO2,alcohol_2,density_2,sugar_2,acidez_2,alcohol_sulphates,density_sugar,acidez_pH,alcohol_acidez_volatil,quality
6.6,0.17,0.38,1.5,0.032,28.0,112.0,0.9914,3.25,0.55,11.4,1.7273,8.3333,0.582,11.302,0.2478,129.96,0.9829,2.25,43.56,6.27,1.4871,21.45,1.938,7
6.3,0.48,0.04,1.1,0.046,30.0,99.0,0.9928,3.24,0.36,9.6,1.5238,2.2449,0.406,9.5309,0.3,92.16,0.9857,1.21,39.69,3.456,1.0921,20.412,4.608,6
6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,2.0645,1.791,0.419,12.6618,0.3816,163.84,0.9785,1.44,38.44,4.992,1.187,20.646,8.448,8
7.4,0.34,0.42,1.1,0.033,17.0,171.0,0.9917,3.12,0.53,11.3,1.527,3.1429,0.563,11.2062,0.0988,127.69,0.9835,1.21,54.76,5.989,1.0909,23.088,3.842,6
6.5,0.31,0.14,7.5,0.044,34.0,133.0,0.9955,3.22,0.5,9.5,1.4615,23.4375,0.544,9.4572,0.2537,90.25,0.991,56.25,42.25,4.75,7.4662,20.93,2.945,5
6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,2.0645,1.791,0.419,12.6618,0.3816,163.84,0.9785,1.44,38.44,4.992,1.187,20.646,8.448,8
6.4,0.31,0.38,2.9,0.038,19.0,102.0,0.9912,3.17,0.35,11.0,1.7188,9.0625,0.388,10.9032,0.1845,121.0,0.9825,8.41,40.96,3.85,2.8745,20.288,3.41,7
6.8,0.26,0.42,1.7,0.049,41.0,122.0,0.993,3.47,0.48,10.5,1.5441,6.2963,0.529,10.4265,0.3333,110.25,0.986,2.89,46.24,5.04,1.6881,23.596,2.73,8
7.6,0.67,0.14,1.5,0.074,25.0,168.0,0.9937,3.05,0.51,9.3,1.2237,2.2059,0.584,9.2414,0.1479,86.49,0.9874,2.25,57.76,4.743,1.4906,23.18,6.231,5
6.6,0.27,0.41,1.3,0.052,16.0,142.0,0.9951,3.42,0.47,10.0,1.5152,4.6429,0.522,9.951,0.1119,100.0,0.9902,1.69,43.56,4.7,1.2936,22.572,2.7,6
7.0,0.25,0.32,9.0,0.046,56.0,245.0,0.9955,3.25,0.5,10.4,1.4857,34.6154,0.546,10.3532,0.2276,108.16,0.991,81.0,49.0,5.2,8.9595,22.75,2.6,6
6.9,0.24,0.35,1.0,0.052,35.0,146.0,0.993,3.45,0.44,10.0,1.4493,4.0,0.492,9.93,0.2381,100.0,0.986,1.0,47.61,4.4,0.993,23.805,2.4,6
7.0,0.28,0.39,8.7,0.051,32.0,141.0,0.9961,3.38,0.53,10.5,1.5,30.0,0.581,10.459,0.2254,110.25,0.9922,75.69,49.0,5.565,8.6661,23.66,2.94,6
7.4,0.27,0.48,1.1,0.047,17.0,132.0,0.9914,3.19,0.49,11.6,1.5676,3.9286,0.537,11.5002,0.1278,134.56,0.9829,1.21,54.76,5.684,1.0905,23.606,3.132,6
7.2,0.32,0.36,2.0,0.033,37.0,114.0,0.9906,3.1,0.71,12.3,1.7083,6.0606,0.743,12.1844,0.3217,151.29,0.9813,4.0,51.84,8.733,1.9812,22.32,3.936,7
8.5,0.24,0.39,10.4,0.044,20.0,142.0,0.9974,3.2,0.53,10.0,1.1765,41.6,0.574,9.974,0.1399,100.0,0.9948,108.16,72.25,5.3,10.373,27.2,2.4,6
8.3,0.14,0.34,1.1,0.042,7.0,47.0,0.9934,3.47,0.4,10.2,1.2289,7.3333,0.442,10.1327,0.1458,104.04,0.9868,1.21,68.89,4.08,1.0927,28.801,1.428,6
7.4,0.25,0.36,2.05,0.05,31.0,100.0,0.992,3.19,0.44,10.8,1.4595,7.8846,0.49,10.7136,0.3069,116.64,0.9841,4.2025,54.76,4.752,2.0336,23.606,2.7,6
6.2,0.12,0.34,1.5,0.045,43.0,117.0,0.9939,3.42,0.51,9.0,1.4516,11.5385,0.555,8.9451,0.3644,81.0,0.9878,2.25,38.44,4.59,1.4908,21.204,1.08,6
5.8,0.27,0.2,14.95,0.044,22.0,179.0,0.9962,3.37,0.37,10.2,1.7586,53.3929,0.414,10.1612,0.1222,104.04,0.9924,223.5025,33.64,3.774,14.8932,19.546,2.754,5
7.3,0.28,0.43,1.7,0.08,21.0,123.0,0.9905,3.19,0.42,12.8,1.7534,5.8621,0.5,12.6784,0.1694,163.84,0.9811,2.89,53.29,5.376,1.6838,23.287,3.584,5
6.5,0.39,0.23,5.4,0.051,25.0,149.0,0.9934,3.24,0.35,10.0,1.5385,13.5,0.401,9.934,0.1667,100.0,0.9868,29.16,42.25,3.5,5.3644,21.06,3.9,5
7.0,0.33,0.32,1.2,0.053,38.0,138.0,0.9906,3.13,0.28,11.2,1.6,3.5294,0.333,11.0947,0.2734,125.44,0.9813,1.44,49.0,3.136,1.1887,21.91,3.696,6
7.3,0.24,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,0.36,8.6,1.1781,71.8,0.417,8.5991,0.3,73.96,0.9998,322.2025,53.29,3.096,17.9482,23.433,2.064,5
7.3,0.24,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,0.36,8.6,1.1781,71.8,0.417,8.5991,0.3,73.96,0.9998,322.2025,53.29,3.096,17.9482,23.433,2.064,5
6.7,0.23,0.39,2.5,0.172,63.0,158.0,0.9937,3.11,0.36,9.4,1.403,10.4167,0.532,9.3408,0.3962,88.36,0.9874,6.25,44.89,3.384,2.4843,20.837,2.162,6
6.7,0.24,0.39,2.9,0.173,63.0,157.0,0.9937,3.1,0.34,9.4,1.403,11.6,0.513,9.3408,0.3987,88.36,0.9874,8.41,44.89,3.196,2.8817,20.77,2.256,6
7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.9954,3.13,0.46,9.8,1.4,23.125,0.529,9.7549,0.1739,96.04,0.9908,54.76,49.0,4.508,7.366,21.91,3.038,6
6.6,0.24,0.27,1.4,0.057,33.0,152.0,0.9934,3.22,0.56,9.5,1.4394,5.6,0.617,9.4373,0.2157,90.25,0.9868,1.96,43.56,5.32,1.3908,21.252,2.28,6
6.7,0.23,0.26,1.4,0.06,33.0,154.0,0.9934,3.24,0.56,9.5,1.4179,5.8333,0.62,9.4373,0.2129,90.25,0.9868,1.96,44.89,5.32,1.3908,21.708,2.185,6
7.4,0.18,0.31,1.4,0.058,38.0,167.0,0.9931,3.16,0.53,10.0,1.3514,7.3684,0.588,9.931,0.2262,100.0,0.9862,1.96,54.76,5.3,1.3903,23.384,1.8,7
6.2,0.45,0.26,4.4,0.063,63.0,206.0,0.994,3.27,0.52,9.8,1.5806,9.5652,0.583,9.7412,0.3043,96.04,0.988,19.36,38.44,5.096,4.3736,20.274,4.41,4
6.2,0.46,0.25,4.4,0.066,62.0,207.0,0.9939,3.25,0.52,9.8,1.5806,9.3617,0.586,9.7402,0.2981,96.04,0.9878,19.36,38.44,5.096,4.3732,20.15,4.508,5
7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.9954,3.13,0.46,9.8,1.4,23.125,0.529,9.7549,0.1739,96.04,0.9908,54.76,49.0,4.508,7.366,21.91,3.038,6
6.9,0.19,0.35,5.0,0.067,32.0,150.0,0.995,3.36,0.48,9.8,1.4203,25.0,0.547,9.751,0.2119,96.04,0.99,25.0,47.61,4.704,4.975,23.184,1.862,5
7.2,0.19,0.31,1.6,0.062,31.0,173.0,0.9917,3.35,0.44,11.7,1.625,8.0,0.502,11.6029,0.1782,136.89,0.9835,2.56,51.84,5.148,1.5867,24.12,2.223,6
6.6,0.25,0.29,1.1,0.068,39.0,124.0,0.9914,3.34,0.58,11.0,1.6667,4.2308,0.648,10.9054,0.312,121.0,0.9829,1.21,43.56,6.38,1.0905,22.044,2.75,7
6.2,0.16,0.33,1.1,0.057,21.0,82.0,0.991,3.32,0.46,10.9,1.7581,6.4706,0.517,10.8019,0.253,118.81,0.9821,1.21,38.44,5.014,1.0901,20.584,1.744,7
6.4,0.18,0.35,1.0,0.045,39.0,108.0,0.9911,3.31,0.35,10.9,1.7031,5.2632,0.395,10.803,0.3578,118.81,0.9823,1.0,40.96,3.815,0.9911,21.184,1.962,6
6.8,0.2,0.59,0.9,0.147,38.0,132.0,0.993,3.05,0.38,9.1,1.3382,4.2857,0.527,9.0363,0.2857,82.81,0.986,0.81,46.24,3.458,0.8937,20.74,1.82,6
6.9,0.25,0.35,1.3,0.039,29.0,191.0,0.9908,3.13,0.52,11.0,1.5942,5.0,0.559,10.8988,0.151,121.0,0.9817,1.69,47.61,5.72,1.288,21.597,2.75,6
7.2,0.21,0.34,11.9,0.043,37.0,213.0,0.9962,3.09,0.5,9.6,1.3333,54.0909,0.543,9.5635,0.1729,92.16,0.9924,141.61,51.84,4.8,11.8548,22.248,2.016,6
6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,3.3,0.36,8.9,1.4833,62.0,0.408,8.8751,0.3378,79.21,0.9944,153.76,36.0,3.204,12.3653,19.8,1.691,6
6.6,0.38,0.15,4.6,0.044,25.0,78.0,0.9931,3.11,0.38,10.2,1.5455,11.7949,0.424,10.1296,0.3165,104.04,0.9862,21.16,43.56,3.876,4.5683,20.526,3.876,6
7.4,0.2,0.36,1.2,0.038,44.0,111.0,0.9926,3.36,0.34,9.9,1.3378,5.7143,0.378,9.8267,0.3929,98.01,0.9853,1.44,54.76,3.366,1.1911,24.864,1.98,6
6.8,0.22,0.24,4.9,0.092,30.0,123.0,0.9951,3.03,0.46,8.6,1.2647,21.3043,0.552,8.5579,0.2419,73.96,0.9902,24.01,46.24,3.956,4.876,20.604,1.892,6
6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,3.3,0.36,8.9,1.4833,62.0,0.408,8.8751,0.3378,79.21,0.9944,153.76,36.0,3.204,12.3653,19.8,1.691,6
7.0,0.47,0.07,1.1,0.035,17.0,151.0,0.991,3.02,0.34,10.5,1.5,2.2917,0.375,10.4055,0.1118,110.25,0.9821,1.21,49.0,3.57,1.0901,21.14,4.935,5
6.6,0.38,0.15,4.6,0.044,25.0,78.0,0.9931,3.11,0.38,10.2,1.5455,11.7949,0.424,10.1296,0.3165,104.04,0.9862,21.16,43.56,3.876,4.5683,20.526,3.876,6
7.2,0.24,0.27,1.4,0.038,31.0,122.0,0.9927,3.15,0.46,10.3,1.4306,5.6,0.498,10.2248,0.252,106.09,0.9855,1.96,51.84,4.738,1.3898,22.68,2.472,6
6.2,0.35,0.03,1.2,0.064,29.0,120.0,0.9934,3.22,0.54,9.1,1.4677,3.3333,0.604,9.0399,0.2397,82.81,0.9868,1.44,38.44,4.914,1.1921,19.964,3.185,5
6.4,0.26,0.24,6.4,0.04,27.0,124.0,0.9903,3.22,0.49,12.6,1.9687,23.7037,0.53,12.4778,0.216,158.76,0.9807,40.96,40.96,6.174,6.3379,20.608,3.276,7
6.7,0.25,0.13,1.2,0.041,81.0,174.0,0.992,3.14,0.42,9.8,1.4627,4.6154,0.461,9.7216,0.4629,96.04,0.9841,1.44,44.89,4.116,1.1904,21.038,2.45,5
6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,1.597,8.75,0.686,10.6208,0.3093,114.49,0.9853,4.41,44.89,6.848,2.0845,22.311,2.461,8
7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,3.13,0.35,9.5,1.2838,40.4,0.4,9.4639,0.1981,90.25,0.9924,102.01,54.76,3.325,10.0616,23.162,2.28,5
6.2,0.27,0.43,7.8,0.056,48.0,244.0,0.9956,3.1,0.51,9.0,1.4516,27.8571,0.566,8.9604,0.1959,81.0,0.9912,60.84,38.44,4.59,7.7657,19.22,2.43,6
6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,1.3971,14.8387,0.661,9.4601,0.2109,90.25,0.9916,21.16,46.24,5.7,4.5807,22.576,2.85,5
6.0,0.27,0.28,4.8,0.063,31.0,201.0,0.9964,3.69,0.71,10.0,1.6667,17.1429,0.773,9.964,0.1535,100.0,0.9928,23.04,36.0,7.1,4.7827,22.14,2.7,5
8.6,0.23,0.46,1.0,0.054,9.0,72.0,0.9941,2.95,0.49,9.1,1.0581,4.1667,0.544,9.0463,0.1233,82.81,0.9882,1.0,73.96,4.459,0.9941,25.37,2.093,6
6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,1.597,8.75,0.686,10.6208,0.3093,114.49,0.9853,4.41,44.89,6.848,2.0845,22.311,2.461,8
7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,3.13,0.35,9.5,1.2838,40.4,0.4,9.4639,0.1981,90.25,0.9924,102.01,54.76,3.325,10.0616,23.162,2.28,5
7.1,0.18,0.36,1.4,0.043,31.0,87.0,0.9898,3.26,0.37,12.7,1.7887,7.3684,0.413,12.5705,0.3523,161.29,0.9797,1.96,50.41,4.699,1.3857,23.146,2.286,7
7.0,0.32,0.34,1.3,0.042,20.0,69.0,0.9912,3.31,0.65,12.0,1.7143,3.9394,0.692,11.8944,0.2857,144.0,0.9825,1.69,49.0,7.8,1.2886,23.17,3.84,7
7.4,0.18,0.3,8.8,0.064,26.0,103.0,0.9961,2.94,0.56,9.3,1.2568,46.3158,0.624,9.2637,0.25,86.49,0.9922,77.44,54.76,5.208,8.7657,21.756,1.674,5
6.7,0.54,0.28,5.4,0.06,21.0,105.0,0.9949,3.27,0.37,9.0,1.3433,9.8182,0.43,8.9541,0.1981,81.0,0.9898,29.16,44.89,3.33,5.3725,21.909,4.86,5
6.8,0.22,0.31,1.4,0.053,34.0,114.0,0.9929,3.39,0.77,10.6,1.5588,6.087,0.823,10.5247,0.2957,112.36,0.9859,1.96,46.24,8.162,1.3901,23.052,2.332,6
7.1,0.2,0.34,16.0,0.05,51.0,166.0,0.9985,3.21,0.6,9.2,1.2958,76.1905,0.65,9.1862,0.3054,84.64,0.997,256.0,50.41,5.52,15.976,22.791,1.84,6
7.1,0.34,0.2,6.1,0.063,47.0,164.0,0.9946,3.17,0.42,10.0,1.4085,17.4286,0.483,9.946,0.2848,100.0,0.9892,37.21,50.41,4.2,6.0671,22.507,3.4,5
7.3,0.22,0.3,8.2,0.047,42.0,207.0,0.9966,3.33,0.46,9.5,1.3014,35.6522,0.507,9.4677,0.2019,90.25,0.9932,67.24,53.29,4.37,8.1721,24.309,2.09,6
7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,1.2254,26.8182,0.495,8.6774,0.3462,75.69,0.9948,139.24,50.41,3.915,11.7693,22.081,3.741,5
7.1,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,3.12,0.46,8.7,1.2254,26.2222,0.504,8.6782,0.3399,75.69,0.995,139.24,50.41,4.002,11.7705,22.152,3.828,6
7.2,0.39,0.63,11.0,0.044,55.0,156.0,0.9974,3.09,0.44,8.7,1.2083,27.5,0.484,8.6774,0.3503,75.69,0.9948,121.0,51.84,3.828,10.9714,22.248,3.393,6
6.8,0.25,0.31,13.3,0.05,69.0,202.0,0.9972,3.22,0.48,9.7,1.4265,51.1538,0.53,9.6728,0.3399,94.09,0.9944,176.89,46.24,4.656,13.2628,21.896,2.425,6
7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,1.2254,26.8182,0.495,8.6774,0.3462,75.69,0.9948,139.24,50.41,3.915,11.7693,22.081,3.741,5
7.1,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,3.12,0.46,8.7,1.2254,26.2222,0.504,8.6782,0.3399,75.69,0.995,139.24,50.41,4.002,11.7705,22.152,3.828,6
7.2,0.39,0.63,11.0,0.044,55.0,156.0,0.9974,3.09,0.44,8.7,1.2083,27.5,0.484,8.6774,0.3503,75.69,0.9948,121.0,51.84,3.828,10.9714,22.248,3.393,6
6.1,0.27,0.43,7.5,0.049,65.0,243.0,0.9957,3.12,0.47,9.0,1.4754,26.7857,0.519,8.9613,0.2664,81.0,0.9914,56.25,37.21,4.23,7.4678,19.032,2.43,5
6.9,0.24,0.33,1.7,0.035,47.0,136.0,0.99,3.26,0.4,12.6,1.8261,6.8,0.435,12.474,0.3431,158.76,0.9801,2.89,47.61,5.04,1.683,22.494,3.024,7
6.9,0.21,0.33,1.8,0.034,48.0,136.0,0.9899,3.25,0.41,12.6,1.8261,8.1818,0.444,12.4727,0.3504,158.76,0.9799,3.24,47.61,5.166,1.7818,22.425,2.646,7
7.5,0.17,0.32,1.7,0.04,51.0,148.0,0.9916,3.21,0.44,11.5,1.5333,9.4444,0.48,11.4034,0.3423,132.25,0.9833,2.89,56.25,5.06,1.6857,24.075,1.955,7
7.1,0.26,0.29,12.4,0.044,62.0,240.0,0.9969,3.04,0.42,9.2,1.2958,45.9259,0.464,9.1715,0.2573,84.64,0.9938,153.76,50.41,3.864,12.3616,21.584,2.392,6
6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.9979,3.14,0.5,8.8,1.4667,45.4286,0.546,8.7815,0.1576,77.44,0.9958,252.81,36.0,4.4,15.8666,18.84,2.992,6
8.6,0.265,0.36,1.2,0.034,15.0,80.0,0.9913,2.95,0.36,11.4,1.3256,4.3636,0.394,11.3008,0.1852,129.96,0.9827,1.44,73.96,4.104,1.1896,25.37,3.021,7
9.8,0.36,0.46,10.5,0.038,4.0,83.0,0.9956,2.89,0.3,10.1,1.0306,28.3784,0.338,10.0556,0.0476,102.01,0.9912,110.25,96.04,3.03,10.4538,28.322,3.636,4
6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.9979,3.14,0.5,8.8,1.4667,45.4286,0.546,8.7815,0.1576,77.44,0.9958,252.81,36.0,4.4,15.8666,18.84,2.992,6
7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.9975,3.0,0.44,9.1,1.2297,51.9231,0.5,9.0772,0.2694,82.81,0.995,182.25,54.76,4.004,13.4662,22.2,2.275,5
7.1,0.12,0.32,9.6,0.054,64.0,162.0,0.9962,3.4,0.41,9.4,1.3239,73.8462,0.464,9.3643,0.3926,88.36,0.9924,92.16,50.41,3.854,9.5635,24.14,1.128,5
6.0,0.21,0.24,12.1,0.05,55.0,164.0,0.997,3.34,0.39,9.4,1.5667,55.0,0.44,9.3718,0.3333,88.36,0.994,146.41,36.0,3.666,12.0637,20.04,1.974,5
7.5,0.305,0.4,18.9,0.059,44.0,170.0,1.0,2.99,0.46,9.0,1.2,60.0,0.519,9.0,0.2573,81.0,1.0,357.21,56.25,4.14,18.9,22.425,2.745,5
7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.9975,3.0,0.44,9.1,1.2297,51.9231,0.5,9.0772,0.2694,82.81,0.995,182.25,54.76,4.004,13.4662,22.2,2.275,5
7.3,0.13,0.32,14.4,0.051,34.0,109.0,0.9974,3.2,0.35,9.2,1.2603,102.8571,0.401,9.1761,0.3091,84.64,0.9948,207.36,53.29,3.22,14.3626,23.36,1.196,6
7.1,0.12,0.32,9.6,0.054,64.0,162.0,0.9962,3.4,0.41,9.4,1.3239,73.8462,0.464,9.3643,0.3926,88.36,0.9924,92.16,50.41,3.854,9.5635,24.14,1.128,5
7.1,0.23,0.35,16.5,0.04,60.0,171.0,0.999,3.16,0.59,9.1,1.2817,68.75,0.63,9.0909,0.3488,82.81,0.998,272.25,50.41,5.369,16.4835,22.436,2.093,6
7.1,0.23,0.35,16.5,0.04,60.0,171.0,0.999,3.16,0.59,9.1,1.2817,68.75,0.63,9.0909,0.3488,82.81,0.998,272.25,50.41,5.369,16.4835,22.436,2.093,6
6.9,0.33,0.28,1.3,0.051,37.0,187.0,0.9927,3.27,0.6,10.3,1.4928,3.8235,0.651,10.2248,0.1968,106.09,0.9855,1.69,47.61,6.18,1.2905,22.563,3.399,5
6.5,0.17,0.54,8.5,0.082,64.0,163.0,0.9959,2.89,0.39,8.8,1.3538,47.2222,0.472,8.7639,0.3902,77.44,0.9918,72.25,42.25,3.432,8.4652,18.785,1.496,6
7.2,0.27,0.46,18.75,0.052,45.0,255.0,1.0,3.04,0.52,8.9,1.2361,66.9643,0.572,8.9,0.1758,79.21,1.0,351.5625,51.84,4.628,18.75,21.888,2.403,5
7.2,0.31,0.5,13.3,0.056,68.0,195.0,0.9982,3.01,0.47,9.2,1.2778,41.5625,0.526,9.1834,0.3469,84.64,0.9964,176.89,51.84,4.324,13.2761,21.672,2.852,5
6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9968,3.22,0.51,9.1,1.3582,21.9048,0.559,9.0709,0.1921,82.81,0.9936,84.64,44.89,4.641,9.1706,21.574,3.731,5
6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9968,3.22,0.51,9.1,1.3582,21.9048,0.559,9.0709,0.1921,82.81,0.9936,84.64,44.89,4.641,9.1706,21.574,3.731,5
5.5,0.485,0.0,1.5,0.065,8.0,103.0,0.994,3.63,0.4,9.7,1.7636,3.0303,0.465,9.6418,0.0769,94.09,0.988,2.25,30.25,3.88,1.491,19.965,4.7045,4
6.0,0.31,0.24,3.3,0.041,25.0,143.0,0.9914,3.31,0.44,11.3,1.8833,10.3125,0.481,11.2028,0.1736,127.69,0.9829,10.89,36.0,4.972,3.2716,19.86,3.503,6
7.0,0.14,0.4,1.7,0.035,16.0,85.0,0.9911,3.19,0.42,11.8,1.6857,11.3333,0.455,11.695,0.186,139.24,0.9823,2.89,49.0,4.956,1.6849,22.33,1.652,6
7.2,0.31,0.5,13.3,0.056,68.0,195.0,0.9982,3.01,0.47,9.2,1.2778,41.5625,0.526,9.1834,0.3469,84.64,0.9964,176.89,51.84,4.324,13.2761,21.672,2.852,5
7.3,0.32,0.48,13.3,0.06,57.0,196.0,0.9982,3.04,0.5,9.2,1.2603,40.303,0.56,9.1834,0.2893,84.64,0.9964,176.89,53.29,4.6,13.2761,22.192,2.944,5
5.9,0.36,0.04,5.7,0.046,21.0,87.0,0.9934,3.22,0.51,10.2,1.7288,15.4054,0.556,10.1327,0.2386,104.04,0.9868,32.49,34.81,5.202,5.6624,18.998,3.672,5
7.8,0.24,0.32,12.2,0.054,42.0,138.0,0.9984,3.01,0.54,8.8,1.1282,48.8,0.594,8.7859,0.3022,77.44,0.9968,148.84,60.84,4.752,12.1805,23.478,2.112,5
7.4,0.16,0.31,6.85,0.059,31.0,131.0,0.9952,3.29,0.34,9.7,1.3108,40.2941,0.399,9.6534,0.2348,94.09,0.9904,46.9225,54.76,3.298,6.8171,24.346,1.552,5
6.9,0.19,0.28,5.0,0.058,14.0,146.0,0.9952,3.29,0.36,9.1,1.3188,25.0,0.418,9.0563,0.0952,82.81,0.9904,25.0,47.61,3.276,4.976,22.701,1.729,6
6.4,0.13,0.47,1.6,0.092,40.0,158.0,0.9928,3.21,0.36,9.8,1.5312,11.4286,0.452,9.7294,0.2516,96.04,0.9857,2.56,40.96,3.528,1.5885,20.544,1.274,6
6.7,0.19,0.36,1.1,0.026,63.0,143.0,0.9912,3.27,0.48,11.0,1.6418,5.5,0.506,10.9032,0.4375,121.0,0.9825,1.21,44.89,5.28,1.0903,21.909,2.09,6
7.4,0.39,0.23,7.0,0.033,29.0,126.0,0.994,3.14,0.42,10.5,1.4189,17.5,0.453,10.437,0.2283,110.25,0.988,49.0,54.76,4.41,6.958,23.236,4.095,5
6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.9958,3.45,0.54,9.7,1.4923,30.4,0.578,9.6593,0.2353,94.09,0.9916,57.76,42.25,5.238,7.5681,22.425,2.328,7
6.1,0.3,0.56,2.8,0.044,47.0,179.0,0.9924,3.3,0.57,10.9,1.7869,9.0323,0.614,10.8172,0.2611,118.81,0.9849,7.84,37.21,6.213,2.7787,20.13,3.27,7
6.1,0.3,0.56,2.7,0.046,46.0,184.0,0.9924,3.31,0.57,10.9,1.7869,8.7097,0.616,10.8172,0.2486,118.81,0.9849,7.29,37.21,6.213,2.6795,20.191,3.27,6
5.7,0.26,0.25,10.4,0.02,7.0,57.0,0.994,3.39,0.37,10.6,1.8596,38.5185,0.39,10.5364,0.1207,112.36,0.988,108.16,32.49,3.922,10.3376,19.323,2.756,5
